building_name_id,building_id,name,name_type,sequence
CHI-B1830-020-N01,CHI-B1830-020,First Methodist meetinghouse,alternate,1
CHI-B1830-021-N00,CHI-B1830-021,Briggs and Humphrey wagon shop,canonical,0
CHI-B1830-021-N01,CHI-B1830-021,Briggs & Humphrey carriage shop,alternate,1
CHI-B1830-022-N00,CHI-B1830-022,New York House,canonical,0
CHI-B1830-022-N01,CHI-B1830-022,New York Hotel,alternate,1
CHI-B1830-023-N00,CHI-B1830-023,John S. Wright schoolhouse,canonical,0
CHI-B1830-023-N01,CHI-B1830-023,First privately financed public school building,alternate,1
CHI-B1830-024-N00,CHI-B1830-024,First Cook County Courthouse,canonical,0
CHI-B1830-024-N01,CHI-B1830-024,Public Square courthouse,alternate,1
CHI-B1830-025-N00,CHI-B1830-025,First fire engine house,canonical,0
CHI-B1830-025-N01,CHI-B1830-025,Engine House No. 1 precursor,alternate,1
CHI-B1830-026-N00,CHI-B1830-026,Chicago Furnace,canonical,0
CHI-B1830-026-N01,CHI-B1830-026,First Chicago foundry,alternate,1
CHI-B1830-027-N00,CHI-B1830-027,Western Hotel,canonical,0
CHI-B1830-027-N01,CHI-B1830-027,Stow's Western Hotel,alternate,1
CHI-B1830-028-N00,CHI-B1830-028,District No. 4 temporary public schoolhouse,canonical,0
CHI-B1830-028-N01,CHI-B1830-028,City-owned temporary schoolhouse,alternate,1
CHI-B1830-029-N00,CHI-B1830-029,Lake House,canonical,0
CHI-B1830-029-N01,CHI-B1830-029,Lake House Hotel,alternate,1
CHI-B1830-030-N00,CHI-B1830-030,Steele's Block,canonical,0
CHI-B1830-030-N01,CHI-B1830-030,Steele Block,alternate,1
CHI-B1830-031-N00,CHI-B1830-031,Harmon and Loomis Block,canonical,0
CHI-B1830-031-N01,CHI-B1830-031,Harmon & Loomis stores,alternate,1
CHI-B1830-032-N00,CHI-B1830-032,City Hotel,canonical,0
CHI-B1830-032-N01,CHI-B1830-032,Later Sherman House,alternate,1
CHI-B1830-033-N00,CHI-B1830-033,Lyman and Gage flour mill,canonical,0
CHI-B1830-033-N01,CHI-B1830-033,South Branch steam flour mill,alternate,1
CHI-B1830-034-N00,CHI-B1830-034,William B. Ogden House,canonical,0
CHI-B1830-034-N01,CHI-B1830-034,Ogden residence,alternate,1
CHI-B1830-035-N00,CHI-B1830-035,Henry B. Clarke House,canonical,0
CHI-B1830-035-N01,CHI-B1830-035,Clarke-Ford House,alternate,1
CHI-B1830-036-N00,CHI-B1830-036,St. James Episcopal Church,canonical,0
CHI-B1830-036-N01,CHI-B1830-036,First St. James Church,alternate,1
CHI-B1830-037-N00,CHI-B1830-037,St. James parsonage,canonical,0
CHI-B1830-037-N01,CHI-B1830-037,First St. James rectory,alternate,1
CHI-B1830-038-N00,CHI-B1830-038,Charles Morgan furniture factory,canonical,0
CHI-B1830-038-N01,CHI-B1830-038,Morgan furniture manufactory,alternate,1
CHI-B1830-039-N00,CHI-B1830-039,"Ira Miltimore sash, door, and blind factory",canonical,0
CHI-B1830-039-N01,CHI-B1830-039,Miltimore factory,alternate,1
CHI-B1830-040-N00,CHI-B1830-040,Illinois-Indiana State Line Boundary Marker,canonical,0
CHI-B1830-040-N01,CHI-B1830-040,State Line Marker,alternate,1
CHI-B1830-041-N00,CHI-B1830-041,Illinois and Michigan Canal south-channel origin,canonical,0
CHI-B1830-041-N01,CHI-B1830-041,Canal origin site,alternate,1
CHI-B1830-041-N02,CHI-B1830-041,south channel,alternate,2
CHI-B1830-042-N00,CHI-B1830-042,William Norton residence,canonical,0
CHI-B1830-042-N01,CHI-B1830-042,Norton brick house,alternate,1
CHI-B1830-043-N00,CHI-B1830-043,Joseph Laframboise residence,canonical,0
CHI-B1830-043-N01,CHI-B1830-043,Laframboise brick dwelling,alternate,1
CHI-B1830-044-N00,CHI-B1830-044,Archibald Clybourn residence,canonical,0
CHI-B1830-044-N01,CHI-B1830-044,Clybourne brick house,alternate,1
CHI-B1830-045-N00,CHI-B1830-045,Peter Pruyn building,canonical,0
CHI-B1830-045-N01,CHI-B1830-045,Pruyn brick building,alternate,1
CHI-B1830-046-N00,CHI-B1830-046,Saloon Building,canonical,0
CHI-B1830-046-N01,CHI-B1830-046,The Saloon,alternate,1
CHI-B1830-047-N00,CHI-B1830-047,Charles Chapman residence,canonical,0
CHI-B1830-047-N01,CHI-B1830-047,Chapman brick dwelling,alternate,1
CHI-B1830-048-N00,CHI-B1830-048,P. F. W. Peck residence,canonical,0
CHI-B1830-048-N01,CHI-B1830-048,Peck brick dwelling,alternate,1
CHI-B1830-049-N00,CHI-B1830-049,Frontless Block,canonical,0
CHI-B1830-049-N01,CHI-B1830-049,Three-building frontless block,alternate,1
CHI-B1830-050-N00,CHI-B1830-050,North Water Street brick store pair,canonical,0
CHI-B1830-050-N01,CHI-B1830-050,Two North Water stores,alternate,1
CHI-B1830-051-N00,CHI-B1830-051,South Water and LaSalle three-story building,canonical,0
CHI-B1830-051-N01,CHI-B1830-051,Unnamed South Water Street brick building,alternate,1
CHI-B1830-052-N00,CHI-B1830-052,Bigelow's Building,canonical,0
CHI-B1830-052-N01,CHI-B1830-052,Bigelow Building,alternate,1
CHI-B1830-053-N00,CHI-B1830-053,Elihu Granger foundry and finishing shop,canonical,0
CHI-B1830-053-N01,CHI-B1830-053,Granger foundry,alternate,1
CHI-B1830-054-N00,CHI-B1830-054,Rankin Brothers brass foundry,canonical,0
CHI-B1830-054-N01,CHI-B1830-054,Rankin brass works,alternate,1
CHI-B1830-055-N00,CHI-B1830-055,Lake Street Greek Revival business block,canonical,0
CHI-B1830-055-N01,CHI-B1830-055,1839 finest business block,alternate,1
CHI-B1830-056-N00,CHI-B1830-056,Second Tremont House,canonical,0
CHI-B1830-056-N01,CHI-B1830-056,Tremont Hotel II,alternate,1
CHI-CHI1840-001-N00,CHI-CHI1840-001,Tremont House II,canonical,0
CHI-CHI1840-001-N01,CHI-CHI1840-001,Second Tremont House,alternate,1
CHI-CHI1840-002-N00,CHI-CHI1840-002,First Unitarian Church,canonical,0
CHI-CHI1840-002-N01,CHI-CHI1840-002,Unitarian Church on Washington Street,alternate,1
CHI-CHI1840-003-N00,CHI-CHI1840-003,Clark Street floating bridge,canonical,0
CHI-CHI1840-003-N01,CHI-CHI1840-003,first Clark Street bridge,alternate,1
CHI-CHI1840-004-N00,CHI-CHI1840-004,Gurdon S. Hubbard packing house,canonical,0
CHI-CHI1840-004-N01,CHI-CHI1840-004,Hubbard packing house,alternate,1
CHI-CHI1840-005-N00,CHI-CHI1840-005,James Carney brewery,canonical,0
CHI-CHI1840-005-N01,CHI-CHI1840-005,Carney brewery,alternate,1
CHI-CHI1840-006-N00,CHI-CHI1840-006,American Temperance House,canonical,0
CHI-CHI1840-006-N01,CHI-CHI1840-006,Rossetter's Temperance House,alternate,1
CHI-CHI1840-007-N00,CHI-CHI1840-007,Wells Street floating bridge,canonical,0
CHI-CHI1840-007-N01,CHI-CHI1840-007,Wells Street float bridge,alternate,1
CHI-CHI1840-008-N00,CHI-CHI1840-008,Chicago Hydraulic Company waterworks,canonical,0
CHI-CHI1840-008-N01,CHI-CHI1840-008,first Chicago waterworks,alternate,1
CHI-CHI1840-008-N02,CHI-CHI1840-008,Lake Street waterworks,alternate,2
CHI-CHI1840-009-N00,CHI-CHI1840-009,Hydraulic Mills,canonical,0
CHI-CHI1840-009-N01,CHI-CHI1840-009,Chicago Hydraulic Mills,alternate,1
CHI-CHI1840-010-N00,CHI-CHI1840-010,German Settlement public school,canonical,0
CHI-CHI1840-010-N01,CHI-CHI1840-010,Dutch Settlement school,alternate,1
CHI-CHI1840-010-N02,CHI-CHI1840-010,School No. 5,alternate,2
CHI-CHI1840-010-N03,CHI-CHI1840-010,Fourth District school,alternate,3
CHI-CHI1840-011-N00,CHI-CHI1840-011,Saloon Building (1842 remodeling),canonical,0
CHI-CHI1840-011-N01,CHI-CHI1840-011,Saloon Building,alternate,1
CHI-CHI1840-011-N02,CHI-CHI1840-011,Scammon's Saloon Building,alternate,2
CHI-CHI1840-012-N00,CHI-CHI1840-012,Nancy Chapman building used as City Hall,canonical,0
CHI-CHI1840-012-N01,CHI-CHI1840-012,Widow Chapman's building,alternate,1
CHI-CHI1840-013-N00,CHI-CHI1840-013,First North Side smallpox hospital,canonical,0
CHI-CHI1840-013-N01,CHI-CHI1840-013,smallpox pesthouse,alternate,1
CHI-CHI1840-014-N00,CHI-CHI1840-014,Tabernacle Baptist Church,canonical,0
CHI-CHI1840-014-N01,CHI-CHI1840-014,Tabernacle Church,alternate,1
CHI-CHI1840-015-N00,CHI-CHI1840-015,First German Evangelical Association Church,canonical,0
CHI-CHI1840-015-N01,CHI-CHI1840-015,Evangelical Association church on Wabash,alternate,1
CHI-CHI1840-016-N00,CHI-CHI1840-016,St. Mary's Catholic Cathedral,canonical,0
CHI-CHI1840-016-N01,CHI-CHI1840-016,Church of St. Mary,alternate,1
CHI-CHI1840-016-N02,CHI-CHI1840-016,first Catholic cathedral,alternate,2
CHI-CHI1840-017-N00,CHI-CHI1840-017,Wadsworth-Dyer-Chapin packing house,canonical,0
CHI-CHI1840-017-N01,CHI-CHI1840-017,Thomas Dyer and John P. Chapin packing house,alternate,1
CHI-CHI1840-018-N00,CHI-CHI1840-018,Second Presbyterian Church first building,canonical,0
CHI-CHI1840-018-N01,CHI-CHI1840-018,Second Presbyterian frame church,alternate,1
CHI-CHI1840-019-N00,CHI-CHI1840-019,Peck-Robbins-High-Magie commercial block,canonical,0
CHI-CHI1840-019-N01,CHI-CHI1840-019,South Water Street fireproof block,alternate,1
CHI-CHI1840-020-N00,CHI-CHI1840-020,George Smith five-building block,canonical,0
CHI-CHI1840-020-N01,CHI-CHI1840-020,George Smith's State Street block,alternate,1
CHI-CHI1840-021-N00,CHI-CHI1840-021,Denker and Borges triangular building,canonical,0
CHI-CHI1840-021-N01,CHI-CHI1840-021,Denker & Borges building,alternate,1
CHI-CHI1840-022-N00,CHI-CHI1840-022,Allan Robbins brick store near Lake and South Water,canonical,0
CHI-CHI1840-022-N01,CHI-CHI1840-022,Robbins store,alternate,1
CHI-CHI1840-023-N00,CHI-CHI1840-023,Rush Medical College first building,canonical,0
CHI-CHI1840-023-N01,CHI-CHI1840-023,Rush Medical College,alternate,1
CHI-CHI1840-024-N00,CHI-CHI1840-024,First Baptist Church brick building,canonical,0
CHI-CHI1840-024-N01,CHI-CHI1840-024,First Baptist Church at Washington and LaSalle,alternate,1
CHI-CHI1840-025-N00,CHI-CHI1840-025,Trinity Episcopal Church first building,canonical,0
CHI-CHI1840-025-N01,CHI-CHI1840-025,Trinity Church on Madison Street,alternate,1
CHI-CHI1840-026-N00,CHI-CHI1840-026,First Universalist Church,canonical,0
CHI-CHI1840-026-N01,CHI-CHI1840-026,Universalist church on Washington Street,alternate,1
CHI-CHI1840-027-N00,CHI-CHI1840-027,Dearborn School,canonical,0
CHI-CHI1840-027-N01,CHI-CHI1840-027,District No. 1 school,alternate,1
CHI-CHI1840-027-N02,CHI-CHI1840-027,Miltimore's Folly,alternate,2
CHI-CHI1840-028-N00,CHI-CHI1840-028,North Division School at Ohio and LaSalle,canonical,0
CHI-CHI1840-028-N01,CHI-CHI1840-028,Ohio Street School,alternate,1
CHI-CHI1840-029-N00,CHI-CHI1840-029,First Methodist Episcopal Church at Clark and Washington,canonical,0
CHI-CHI1840-029-N01,CHI-CHI1840-029,Clark Street Methodist Episcopal Church,alternate,1
CHI-CHI1840-030-N00,CHI-CHI1840-030,University of St. Mary of the Lake first campus building,canonical,0
CHI-CHI1840-030-N01,CHI-CHI1840-030,St. Mary of the Lake College and Seminary,alternate,1
CHI-CHI1840-031-N00,CHI-CHI1840-031,Second North Side smallpox hospital,canonical,0
CHI-CHI1840-031-N01,CHI-CHI1840-031,replacement smallpox pesthouse,alternate,1
CHI-CHI1840-032-N00,CHI-CHI1840-032,Canal Street Methodist Episcopal Church first building,canonical,0
CHI-CHI1840-032-N01,CHI-CHI1840-032,Jefferson Street Methodist,alternate,1
CHI-CHI1840-032-N02,CHI-CHI1840-032,Canal Street Methodist,alternate,2
CHI-CHI1840-033-N00,CHI-CHI1840-033,First German Evangelical congregation church at LaSalle and Ohio,canonical,0
CHI-CHI1840-033-N01,CHI-CHI1840-033,later First St. Paul's United Evangelical church,alternate,1
CHI-CHI1840-034-N00,CHI-CHI1840-034,St. Patrick's Catholic Church first building,canonical,0
CHI-CHI1840-034-N01,CHI-CHI1840-034,Old St. Patrick's first frame church,alternate,1
CHI-CHI1840-035-N00,CHI-CHI1840-035,St. Peter's German Catholic Church first building,canonical,0
CHI-CHI1840-035-N01,CHI-CHI1840-035,German Catholic Church of St. Peter,alternate,1
CHI-CHI1840-036-N00,CHI-CHI1840-036,St. Peter's German Catholic rectory first building,canonical,0
CHI-CHI1840-036-N01,CHI-CHI1840-036,St. Peter's parsonage,alternate,1
CHI-CHI1840-037-N00,CHI-CHI1840-037,St. Peter's German Catholic schoolhouse first building,canonical,0
CHI-CHI1840-037-N01,CHI-CHI1840-037,St. Peter's parish school,alternate,1
CHI-CHI1840-038-N00,CHI-CHI1840-038,St. Joseph's German Catholic Church first building,canonical,0
CHI-CHI1840-038-N01,CHI-CHI1840-038,St. Joseph German Catholic Church,alternate,1
CHI-CHI1840-039-N00,CHI-CHI1840-039,Scammon School,canonical,0
CHI-CHI1840-039-N01,CHI-CHI1840-039,District No. 3 school,alternate,1
CHI-CHI1840-040-N00,CHI-CHI1840-040,Rice's first Chicago theater,canonical,0
CHI-CHI1840-040-N01,CHI-CHI1840-040,Rice's Theatre,alternate,1
CHI-CHI1840-041-N00,CHI-CHI1840-041,Dr. Edward Mead private insane asylum,canonical,0
CHI-CHI1840-041-N01,CHI-CHI1840-041,Mead's asylum,alternate,1
CHI-CHI1840-042-N00,CHI-CHI1840-042,Stiles Burton's City Hotel,canonical,0
CHI-CHI1840-042-N01,CHI-CHI1840-042,City Hotel at State and Lake,alternate,1
CHI-CHI1840-043-N00,CHI-CHI1840-043,State Street Market Building and City Hall,canonical,0
CHI-CHI1840-043-N01,CHI-CHI1840-043,Market Hall,alternate,1
CHI-CHI1840-043-N02,CHI-CHI1840-043,first municipally owned City Hall,alternate,2
CHI-CHI1840-044-N00,CHI-CHI1840-044,Galena and Chicago Union Railroad first depot,canonical,0
CHI-CHI1840-044-N01,CHI-CHI1840-044,Kinzie Street depot,alternate,1
CHI-CHI1840-045-N00,CHI-CHI1840-045,Bull's Head cattle yards,canonical,0
CHI-CHI1840-045-N01,CHI-CHI1840-045,Bull's Head stockyards,alternate,1
CHI-CHI1840-046-N00,CHI-CHI1840-046,First Chicago steam grain elevator,canonical,0
CHI-CHI1840-046-N01,CHI-CHI1840-046,Bristol or Steel elevator,alternate,1
CHI-CHI1840-046-N02,CHI-CHI1840-046,attribution disputed,alternate,2
CHI-CHI1840-047-N00,CHI-CHI1840-047,Scoville and Sons foundry,canonical,0
CHI-CHI1840-047-N01,CHI-CHI1840-047,origin of Scoville Iron Works,alternate,1
CHI-CHI1840-048-N00,CHI-CHI1840-048,Nugent and Owens brass foundry,canonical,0
CHI-CHI1840-048-N01,CHI-CHI1840-048,Nugent & Owens works,alternate,1
CHI-CHI1840-049-N00,CHI-CHI1840-049,McCormick reaper manufactory 1848 expansion,canonical,0
CHI-CHI1840-049-N01,CHI-CHI1840-049,Cyrus McCormick works near harbor,alternate,1
CHI-CHI1840-050-N00,CHI-CHI1840-050,First Norwegian Evangelical Lutheran Church building,canonical,0
CHI-CHI1840-050-N01,CHI-CHI1840-050,Norwegian Lutheran church on Superior,alternate,1
CHI-CHI1840-051-N00,CHI-CHI1840-051,Holy Name Catholic Church first building,canonical,0
CHI-CHI1840-051-N01,CHI-CHI1840-051,Church of the Holy Name at Rush and Superior,alternate,1
CHI-CHI1840-052-N00,CHI-CHI1840-052,St. Paul's German Evangelical Lutheran Church first building,canonical,0
CHI-CHI1840-052-N01,CHI-CHI1840-052,St. Paul's Lutheran church on Indiana Street,alternate,1
CHI-CHI1840-053-N00,CHI-CHI1840-053,Jones School first building,canonical,0
CHI-CHI1840-053-N01,CHI-CHI1840-053,District No. 2 school on Block 113,alternate,1
CHI-CHI1840-054-N00,CHI-CHI1840-054,Eighteenth Street temporary cholera hospital,canonical,0
CHI-CHI1840-054-N01,CHI-CHI1840-054,1849 cholera hospital near river,alternate,1
CHI-CHI1840-055-N00,CHI-CHI1840-055,Erie Street cholera hospital,canonical,0
CHI-CHI1840-055-N01,CHI-CHI1840-055,Boone-plan cholera hospital,alternate,1
CHI-CHI1840-056-N00,CHI-CHI1840-056,Kehilath Anshe Ma'arav first synagogue,canonical,0
CHI-CHI1840-056-N01,CHI-CHI1840-056,K.A.M. synagogue,alternate,1
CHI-CHI1840-056-N02,CHI-CHI1840-056,first Chicago synagogue,alternate,2
CHI-CHI1840-057-N00,CHI-CHI1840-057,Second Presbyterian Church stone building,canonical,0
CHI-CHI1840-057-N01,CHI-CHI1840-057,Second Presbyterian Church at Washington and Wabash,alternate,1
CHI-CHI1840-058-N00,CHI-CHI1840-058,Charles Cleaver soap and candle factory at Madison and Canal,canonical,0
CHI-CHI1840-058-N01,CHI-CHI1840-058,Cleaver factory relocation of 1842,alternate,1
CHI-CHI1840-059-N00,CHI-CHI1840-059,Charles Cleaver soap and candle factory on North Branch,canonical,0
CHI-CHI1840-059-N01,CHI-CHI1840-059,Cleaver factory relocation of 1849,alternate,1
CHI-CHI1840-060-N00,CHI-CHI1840-060,City Hotel to Sherman House enlargement,canonical,0
CHI-CHI1840-060-N01,CHI-CHI1840-060,Sherman House 1844 rebuilding,alternate,1
CHI-CHI1850-001-N00,CHI-CHI1850-001,Chicago Gas Light and Coke Works,canonical,0
CHI-CHI1850-001-N01,CHI-CHI1850-001,Chicago Gas Works,alternate,1
CHI-CHI1850-002-N00,CHI-CHI1850-002,Tremont House (third),canonical,0
CHI-CHI1850-002-N01,CHI-CHI1850-002,Tremont III,alternate,1
CHI-CHI1850-002-N02,CHI-CHI1850-002,Couch's Folly,alternate,2
CHI-CHI1850-003-N00,CHI-CHI1850-003,Matteson House,canonical,0
CHI-CHI1850-003-N01,CHI-CHI1850-003,first Matteson House,alternate,1
CHI-CHI1850-004-N00,CHI-CHI1850-004,United States Marine Hospital,canonical,0
CHI-CHI1850-005-N00,CHI-CHI1850-005,Chicago Bridewell,canonical,0
CHI-CHI1850-005-N01,CHI-CHI1850-005,Bridewell,alternate,1
CHI-CHI1850-006-N00,CHI-CHI1850-006,Second Presbyterian Church,canonical,0
CHI-CHI1850-006-N01,CHI-CHI1850-006,Second Church,alternate,1
CHI-CHI1850-007-N00,CHI-CHI1850-007,State Street Methodist Episcopal Church building,canonical,0
CHI-CHI1850-007-N01,CHI-CHI1850-007,portion of the former Second Presbyterian frame church,alternate,1
CHI-CHI1850-008-N00,CHI-CHI1850-008,Michigan Southern Railroad depot,canonical,0
CHI-CHI1850-009-N00,CHI-CHI1850-009,Michigan Central temporary depot,canonical,0
CHI-CHI1850-010-N00,CHI-CHI1850-010,St. Michael's Church (first),canonical,0
CHI-CHI1850-010-N01,CHI-CHI1850-010,first St. Michael Catholic Church,alternate,1
CHI-CHI1850-011-N00,CHI-CHI1850-011,St. Louis Catholic Church,canonical,0
CHI-CHI1850-011-N01,CHI-CHI1850-011,French Catholic Church,alternate,1
CHI-CHI1850-012-N00,CHI-CHI1850-012,Welsh Calvinistic Methodist Church,canonical,0
CHI-CHI1850-012-N01,CHI-CHI1850-012,Welsh Presbyterian Church,alternate,1
CHI-CHI1850-013-N00,CHI-CHI1850-013,Chicago Courthouse and City Hall,canonical,0
CHI-CHI1850-013-N01,CHI-CHI1850-013,Courthouse-City Hall,alternate,1
CHI-CHI1850-014-N00,CHI-CHI1850-014,Briggs House,canonical,0
CHI-CHI1850-015-N00,CHI-CHI1850-015,Young America Hotel,canonical,0
CHI-CHI1850-015-N01,CHI-CHI1850-015,Revere House (name from 1857),alternate,1
CHI-CHI1850-016-N00,CHI-CHI1850-016,Quinn Chapel A.M.E. Church,canonical,0
CHI-CHI1850-016-N01,CHI-CHI1850-016,Quinn Chapel,alternate,1
CHI-CHI1850-017-N00,CHI-CHI1850-017,New England Congregational Church,canonical,0
CHI-CHI1850-018-N00,CHI-CHI1850-018,Owen Street Methodist Episcopal Church,canonical,0
CHI-CHI1850-018-N01,CHI-CHI1850-018,Indiana Street Methodist Episcopal Church after 1860,alternate,1
CHI-CHI1850-019-N00,CHI-CHI1850-019,Chicago Avenue Water Works,canonical,0
CHI-CHI1850-019-N01,CHI-CHI1850-019,1850s Chicago Water Works,alternate,1
CHI-CHI1850-020-N00,CHI-CHI1850-020,Holy Name Cathedral (first cathedral),canonical,0
CHI-CHI1850-020-N01,CHI-CHI1850-020,Cathedral of the Holy Name,alternate,1
CHI-CHI1850-021-N00,CHI-CHI1850-021,Clark Street pivot bridge (1854),canonical,0
CHI-CHI1850-022-N00,CHI-CHI1850-022,Van Buren Street German Methodist Episcopal Church,canonical,0
CHI-CHI1850-023-N00,CHI-CHI1850-023,John Wingert House,canonical,0
CHI-CHI1850-023-N01,CHI-CHI1850-023,Wingert House,alternate,1
CHI-CHI1850-024-N00,CHI-CHI1850-024,Twelfth Street bridge (1855 rebuild),canonical,0
CHI-CHI1850-025-N00,CHI-CHI1850-025,Metropolitan Hall,canonical,0
CHI-CHI1850-026-N00,CHI-CHI1850-026,Boardman House,canonical,0
CHI-CHI1850-027-N00,CHI-CHI1850-027,Central High School,canonical,0
CHI-CHI1850-027-N01,CHI-CHI1850-027,Chicago High School,alternate,1
CHI-CHI1850-028-N00,CHI-CHI1850-028,Ogden School (first permanent building),canonical,0
CHI-CHI1850-029-N00,CHI-CHI1850-029,Moseley School (first building),canonical,0
CHI-CHI1850-030-N00,CHI-CHI1850-030,Michigan Southern and Rock Island joint depot,canonical,0
CHI-CHI1850-031-N00,CHI-CHI1850-031,Illinois Central Great Central Depot,canonical,0
CHI-CHI1850-031-N01,CHI-CHI1850-031,Illinois Central depot,alternate,1
CHI-CHI1850-032-N00,CHI-CHI1850-032,Old St. Patrick's Church,canonical,0
CHI-CHI1850-032-N01,CHI-CHI1850-032,St. Patrick's Roman Catholic Church,alternate,1
CHI-CHI1850-033-N00,CHI-CHI1850-033,Charles J. Hull House,canonical,0
CHI-CHI1850-033-N01,CHI-CHI1850-033,Hull residence,alternate,1
CHI-CHI1850-034-N00,CHI-CHI1850-034,Cleveland House,canonical,0
CHI-CHI1850-035-N00,CHI-CHI1850-035,Richmond House,canonical,0
CHI-CHI1850-036-N00,CHI-CHI1850-036,Wells Street bridge (1856),canonical,0
CHI-CHI1850-037-N00,CHI-CHI1850-037,Randolph Street bridge (1856),canonical,0
CHI-CHI1850-038-N00,CHI-CHI1850-038,Rush Street iron bridge,canonical,0
CHI-CHI1850-039-N00,CHI-CHI1850-039,Phebe and John Gray House,canonical,0
CHI-CHI1850-039-N01,CHI-CHI1850-039,John Gray House,alternate,1
CHI-CHI1850-040-N00,CHI-CHI1850-040,Adams House,canonical,0
CHI-CHI1850-041-N00,CHI-CHI1850-041,Massasoit House,canonical,0
CHI-CHI1850-042-N00,CHI-CHI1850-042,McVicker's Theatre,canonical,0
CHI-CHI1850-042-N01,CHI-CHI1850-042,McVicker's Theater,alternate,1
CHI-CHI1850-043-N00,CHI-CHI1850-043,St. James Episcopal Church (1857),canonical,0
CHI-CHI1850-044-N00,CHI-CHI1850-044,Desplaines Street Methodist Episcopal Church,canonical,0
CHI-CHI1850-045-N00,CHI-CHI1850-045,Foster School brick building,canonical,0
CHI-CHI1850-046-N00,CHI-CHI1850-046,Charles D. Iglehart House,canonical,0
CHI-CHI1850-046-N01,CHI-CHI1850-046,Iglehart House,alternate,1
CHI-CHI1850-047-N00,CHI-CHI1850-047,Madison Street iron bridge,canonical,0
CHI-CHI1850-048-N00,CHI-CHI1850-048,Polk Street drawbridge,canonical,0
CHI-CHI1850-049-N00,CHI-CHI1850-049,Indiana Street floating bridge,canonical,0
CHI-CHI1850-050-N00,CHI-CHI1850-050,Erie Street floating bridge,canonical,0
CHI-CHI1850-051-N00,CHI-CHI1850-051,Wabash Avenue Methodist Episcopal Church,canonical,0
CHI-CHI1850-052-N00,CHI-CHI1850-052,Newberry School,canonical,0
CHI-CHI1850-053-N00,CHI-CHI1850-053,Clifton House,canonical,0
