building_event_id,building_id,event_type,event_date,date_precision,cause,description
CHI-B1830-031-E01,CHI-B1830-031,completion,1836,active_by,,Construction/completion evidence
CHI-B1830-031-E02,CHI-B1830-031,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-032-E01,CHI-B1830-032,completion,1837,range,,Construction/completion evidence
CHI-B1830-032-E02,CHI-B1830-032,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-033-E01,CHI-B1830-033,completion,1837,exact,,Construction/completion evidence
CHI-B1830-033-E02,CHI-B1830-033,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-034-E01,CHI-B1830-034,completion,1837,exact,,Construction/completion evidence
CHI-B1830-034-E02,CHI-B1830-034,demolition_or_loss,1871,inferred,Great Chicago Fire,destroyed
CHI-B1830-034-E03,CHI-B1830-034,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,destroyed
CHI-B1830-035-E01,CHI-B1830-035,completion,1836,circa,,Construction/completion evidence
CHI-B1830-035-E02,CHI-B1830-035,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,survived
CHI-B1830-036-E01,CHI-B1830-036,completion,1837,exact,,Construction/completion evidence
CHI-B1830-036-E02,CHI-B1830-036,demolition_or_loss,1857,approximate,Replaced by a new church building,demolished/replaced
CHI-B1830-036-E03,CHI-B1830-036,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-037-E01,CHI-B1830-037,completion,1838,exact,,Construction/completion evidence
CHI-B1830-037-E02,CHI-B1830-037,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-038-E01,CHI-B1830-038,completion,1837,seasonal_exact,,Construction/completion evidence
CHI-B1830-038-E02,CHI-B1830-038,demolition_or_loss,1852,exact,Fire,destroyed
CHI-B1830-038-E03,CHI-B1830-038,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-039-E01,CHI-B1830-039,completion,1838,range,,Construction/completion evidence
CHI-B1830-039-E02,CHI-B1830-039,demolition_or_loss,1842,exact,Fire in July,destroyed
CHI-B1830-039-E03,CHI-B1830-039,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-B1830-040-E01,CHI-B1830-040,completion,1838,exact,,Construction/completion evidence
CHI-B1830-040-E02,CHI-B1830-040,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,survived
CHI-B1830-041-E01,CHI-B1830-041,completion,1838,range,,Construction/completion evidence
CHI-B1830-041-E02,CHI-B1830-041,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,survived
CHI-B1830-042-E01,CHI-B1830-042,completion,1837,active_by,,Construction/completion evidence
CHI-B1830-042-E02,CHI-B1830-042,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-043-E01,CHI-B1830-043,completion,1837,active_by,,Construction/completion evidence
CHI-B1830-043-E02,CHI-B1830-043,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-044-E01,CHI-B1830-044,completion,1837,active_by,,Construction/completion evidence
CHI-B1830-044-E02,CHI-B1830-044,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-045-E01,CHI-B1830-045,completion,1837,active_by,,Construction/completion evidence
CHI-B1830-045-E02,CHI-B1830-045,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-046-E01,CHI-B1830-046,completion,1837,active_by,,Construction/completion evidence
CHI-B1830-046-E02,CHI-B1830-046,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-047-E01,CHI-B1830-047,completion,1837,active_by,,Construction/completion evidence
CHI-B1830-047-E02,CHI-B1830-047,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-048-E01,CHI-B1830-048,completion,1837,active_by,,Construction/completion evidence
CHI-B1830-048-E02,CHI-B1830-048,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-049-E01,CHI-B1830-049,completion,1837,active_by,,Construction/completion evidence
CHI-B1830-049-E02,CHI-B1830-049,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-050-E01,CHI-B1830-050,completion,1837,active_by,,Construction/completion evidence
CHI-B1830-050-E02,CHI-B1830-050,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-051-E01,CHI-B1830-051,completion,1837,active_by,,Construction/completion evidence
CHI-B1830-051-E02,CHI-B1830-051,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-052-E01,CHI-B1830-052,completion,1837,active_by,,Construction/completion evidence
CHI-B1830-052-E02,CHI-B1830-052,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-053-E01,CHI-B1830-053,completion,1839,exact,,Construction/completion evidence
CHI-B1830-053-E02,CHI-B1830-053,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-054-E01,CHI-B1830-054,completion,1839,circa,,Construction/completion evidence
CHI-B1830-054-E02,CHI-B1830-054,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,unknown
CHI-B1830-055-E01,CHI-B1830-055,completion,1839,exact,,Construction/completion evidence
CHI-B1830-055-E02,CHI-B1830-055,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,survived
CHI-B1830-056-E01,CHI-B1830-056,completion,1840,exact,,Construction/completion evidence
CHI-B1830-056-E02,CHI-B1830-056,demolition_or_loss,1849,exact,Fire on July 21,destroyed
CHI-B1830-056-E03,CHI-B1830-056,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not exposed
CHI-CHI1840-001-E01,CHI-CHI1840-001,completion,1840,exact,,Construction/completion evidence
CHI-CHI1840-001-E02,CHI-CHI1840-001,demolition_or_loss,1849,exact,fire,demolished
CHI-CHI1840-001-E03,CHI-CHI1840-001,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-002-E01,CHI-CHI1840-002,completion,1840,exact,,Construction/completion evidence
CHI-CHI1840-002-E02,CHI-CHI1840-002,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,uncertain
CHI-CHI1840-003-E01,CHI-CHI1840-003,completion,1840,exact,,Construction/completion evidence
CHI-CHI1840-003-E02,CHI-CHI1840-003,demolition_or_loss,1849,exact,ice and flood,demolished
CHI-CHI1840-003-E03,CHI-CHI1840-003,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-004-E01,CHI-CHI1840-004,completion,1840,exact,,Construction/completion evidence
CHI-CHI1840-004-E02,CHI-CHI1840-004,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,uncertain
CHI-CHI1840-005-E01,CHI-CHI1840-005,completion,1840,approximate,,Construction/completion evidence
CHI-CHI1840-005-E02,CHI-CHI1840-005,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,uncertain
CHI-CHI1840-006-E01,CHI-CHI1840-006,completion,1840,approximate,,Construction/completion evidence
CHI-CHI1840-006-E02,CHI-CHI1840-006,demolition_or_loss,1861,exact,redevelopment,demolished
CHI-CHI1840-006-E03,CHI-CHI1840-006,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-007-E01,CHI-CHI1840-007,completion,1841,exact,,Construction/completion evidence
CHI-CHI1840-007-E02,CHI-CHI1840-007,demolition_or_loss,1849,exact,ice and flood,demolished
CHI-CHI1840-007-E03,CHI-CHI1840-007,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-008-E01,CHI-CHI1840-008,completion,1842,exact,,Construction/completion evidence
CHI-CHI1840-008-E02,CHI-CHI1840-008,demolition_or_loss,1853,approximate,superseded by new waterworks,demolished
CHI-CHI1840-008-E03,CHI-CHI1840-008,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-009-E01,CHI-CHI1840-009,completion,1842,exact,,Construction/completion evidence
CHI-CHI1840-009-E02,CHI-CHI1840-009,demolition_or_loss,1854,approximate,loss of original water-power arrangement,demolished
CHI-CHI1840-009-E03,CHI-CHI1840-009,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-010-E01,CHI-CHI1840-010,completion,1842,exact,,Construction/completion evidence
CHI-CHI1840-010-E02,CHI-CHI1840-010,demolition_or_loss,1845,approximate,superseded by permanent school,demolished
CHI-CHI1840-010-E03,CHI-CHI1840-010,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-011-E01,CHI-CHI1840-011,completion,1842,exact,,Construction/completion evidence
CHI-CHI1840-011-E02,CHI-CHI1840-011,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,probably destroyed
CHI-CHI1840-012-E01,CHI-CHI1840-012,completion,1842,unknown,,Construction/completion evidence
CHI-CHI1840-012-E02,CHI-CHI1840-012,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,probably destroyed
CHI-CHI1840-013-E01,CHI-CHI1840-013,completion,1843,approximate,,Construction/completion evidence
CHI-CHI1840-013-E02,CHI-CHI1840-013,demolition_or_loss,1845,exact,fire,demolished
CHI-CHI1840-013-E03,CHI-CHI1840-013,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-014-E01,CHI-CHI1840-014,completion,1843,exact,,Construction/completion evidence
CHI-CHI1840-014-E02,CHI-CHI1840-014,demolition_or_loss,1851,exact,fire,demolished
CHI-CHI1840-014-E03,CHI-CHI1840-014,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-015-E01,CHI-CHI1840-015,completion,1843,exact,,Construction/completion evidence
CHI-CHI1840-015-E02,CHI-CHI1840-015,demolition_or_loss,1852,exact,relocated,relocated
CHI-CHI1840-015-E03,CHI-CHI1840-015,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-016-E01,CHI-CHI1840-016,completion,1843,exact,,Construction/completion evidence
CHI-CHI1840-016-E02,CHI-CHI1840-016,demolition_or_loss,1871,exact,Great Chicago Fire,demolished
CHI-CHI1840-016-E03,CHI-CHI1840-016,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,destroyed
CHI-CHI1840-017-E01,CHI-CHI1840-017,completion,1844,exact,,Construction/completion evidence
CHI-CHI1840-017-E02,CHI-CHI1840-017,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,uncertain
CHI-CHI1840-018-E01,CHI-CHI1840-018,completion,1842,exact,,Construction/completion evidence
CHI-CHI1840-018-E02,CHI-CHI1840-018,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-019-E01,CHI-CHI1840-019,completion,1844,exact,,Construction/completion evidence
CHI-CHI1840-019-E02,CHI-CHI1840-019,demolition_or_loss,1871,approximate,Great Chicago Fire,demolished
CHI-CHI1840-019-E03,CHI-CHI1840-019,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,probably destroyed
CHI-CHI1840-020-E01,CHI-CHI1840-020,completion,1844,exact,,Construction/completion evidence
CHI-CHI1840-020-E02,CHI-CHI1840-020,demolition_or_loss,1871,approximate,Great Chicago Fire,demolished
CHI-CHI1840-020-E03,CHI-CHI1840-020,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,probably destroyed
CHI-CHI1840-021-E01,CHI-CHI1840-021,completion,1844,exact,,Construction/completion evidence
CHI-CHI1840-021-E02,CHI-CHI1840-021,demolition_or_loss,1871,approximate,Great Chicago Fire,demolished
CHI-CHI1840-021-E03,CHI-CHI1840-021,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,probably destroyed
CHI-CHI1840-022-E01,CHI-CHI1840-022,completion,1844,exact,,Construction/completion evidence
CHI-CHI1840-022-E02,CHI-CHI1840-022,demolition_or_loss,1871,approximate,Great Chicago Fire,demolished
CHI-CHI1840-022-E03,CHI-CHI1840-022,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,probably destroyed
CHI-CHI1840-023-E01,CHI-CHI1840-023,completion,1844,exact,,Construction/completion evidence
CHI-CHI1840-023-E02,CHI-CHI1840-023,demolition_or_loss,1871,exact,Great Chicago Fire,demolished
CHI-CHI1840-023-E03,CHI-CHI1840-023,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,destroyed
CHI-CHI1840-024-E01,CHI-CHI1840-024,completion,1844,exact,,Construction/completion evidence
CHI-CHI1840-024-E02,CHI-CHI1840-024,demolition_or_loss,1852,exact,fire,demolished
CHI-CHI1840-024-E03,CHI-CHI1840-024,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-025-E01,CHI-CHI1840-025,completion,1844,exact,,Construction/completion evidence
CHI-CHI1840-025-E02,CHI-CHI1840-025,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,probably destroyed
CHI-CHI1840-026-E01,CHI-CHI1840-026,completion,1844,exact,,Construction/completion evidence
CHI-CHI1840-026-E02,CHI-CHI1840-026,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,uncertain
CHI-CHI1840-027-E01,CHI-CHI1840-027,completion,1845,exact,,Construction/completion evidence
CHI-CHI1840-027-E02,CHI-CHI1840-027,demolition_or_loss,1871,exact,Great Chicago Fire,demolished
CHI-CHI1840-027-E03,CHI-CHI1840-027,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,destroyed
CHI-CHI1840-028-E01,CHI-CHI1840-028,completion,1846,approximate,,Construction/completion evidence
CHI-CHI1840-028-E02,CHI-CHI1840-028,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,uncertain
CHI-CHI1840-029-E01,CHI-CHI1840-029,completion,1845,exact,,Construction/completion evidence
CHI-CHI1840-029-E02,CHI-CHI1840-029,demolition_or_loss,1871,exact,Great Chicago Fire,demolished
CHI-CHI1840-029-E03,CHI-CHI1840-029,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,destroyed
CHI-CHI1840-030-E01,CHI-CHI1840-030,completion,1846,approximate,,Construction/completion evidence
CHI-CHI1840-030-E02,CHI-CHI1840-030,demolition_or_loss,1871,approximate,Great Chicago Fire,demolished
CHI-CHI1840-030-E03,CHI-CHI1840-030,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,probably destroyed
CHI-CHI1840-031-E01,CHI-CHI1840-031,completion,1845,exact,,Construction/completion evidence
CHI-CHI1840-031-E02,CHI-CHI1840-031,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,uncertain
CHI-CHI1840-032-E01,CHI-CHI1840-032,completion,1843,approximate,,Construction/completion evidence
CHI-CHI1840-032-E02,CHI-CHI1840-032,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-033-E01,CHI-CHI1840-033,completion,1843,approximate,,Construction/completion evidence
CHI-CHI1840-033-E02,CHI-CHI1840-033,demolition_or_loss,1855,approximate,superseded by new brick church,demolished
CHI-CHI1840-033-E03,CHI-CHI1840-033,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-034-E01,CHI-CHI1840-034,completion,1846,exact,,Construction/completion evidence
CHI-CHI1840-034-E02,CHI-CHI1840-034,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,survived outside main fire zone
CHI-CHI1840-035-E01,CHI-CHI1840-035,completion,1846,exact,,Construction/completion evidence
CHI-CHI1840-035-E02,CHI-CHI1840-035,demolition_or_loss,1853,exact,relocated,relocated
CHI-CHI1840-035-E03,CHI-CHI1840-035,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-036-E01,CHI-CHI1840-036,completion,1846,approximate,,Construction/completion evidence
CHI-CHI1840-036-E02,CHI-CHI1840-036,demolition_or_loss,1853,exact,relocated,relocated
CHI-CHI1840-036-E03,CHI-CHI1840-036,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-037-E01,CHI-CHI1840-037,completion,1846,approximate,,Construction/completion evidence
CHI-CHI1840-037-E02,CHI-CHI1840-037,demolition_or_loss,1853,exact,relocated,relocated
CHI-CHI1840-037-E03,CHI-CHI1840-037,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-038-E01,CHI-CHI1840-038,completion,1846,exact,,Construction/completion evidence
CHI-CHI1840-038-E02,CHI-CHI1840-038,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,uncertain
CHI-CHI1840-039-E01,CHI-CHI1840-039,completion,1847,exact,,Construction/completion evidence
CHI-CHI1840-039-E02,CHI-CHI1840-039,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,survived outside main fire zone
CHI-CHI1840-040-E01,CHI-CHI1840-040,completion,1847,exact,,Construction/completion evidence
CHI-CHI1840-040-E02,CHI-CHI1840-040,demolition_or_loss,1850,exact,fire,demolished
CHI-CHI1840-040-E03,CHI-CHI1840-040,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-041-E01,CHI-CHI1840-041,completion,1847,approximate,,Construction/completion evidence
CHI-CHI1840-041-E02,CHI-CHI1840-041,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,uncertain
CHI-CHI1840-042-E01,CHI-CHI1840-042,completion,1848,exact,,Construction/completion evidence
CHI-CHI1840-042-E02,CHI-CHI1840-042,demolition_or_loss,1871,approximate,Great Chicago Fire,demolished
CHI-CHI1840-042-E03,CHI-CHI1840-042,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,probably destroyed
CHI-CHI1840-043-E01,CHI-CHI1840-043,completion,1848,exact,,Construction/completion evidence
CHI-CHI1840-043-E02,CHI-CHI1840-043,demolition_or_loss,1871,exact,Great Chicago Fire,demolished
CHI-CHI1840-043-E03,CHI-CHI1840-043,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,destroyed
CHI-CHI1840-044-E01,CHI-CHI1840-044,completion,1848,exact,,Construction/completion evidence
CHI-CHI1840-044-E02,CHI-CHI1840-044,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,uncertain
CHI-CHI1840-045-E01,CHI-CHI1840-045,completion,1848,exact,,Construction/completion evidence
CHI-CHI1840-045-E02,CHI-CHI1840-045,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,survived outside main fire zone
CHI-CHI1840-046-E01,CHI-CHI1840-046,completion,1848,approximate,,Construction/completion evidence
CHI-CHI1840-046-E02,CHI-CHI1840-046,demolition_or_loss,1854,approximate,fire,demolished
CHI-CHI1840-046-E03,CHI-CHI1840-046,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-047-E01,CHI-CHI1840-047,completion,1848,approximate,,Construction/completion evidence
CHI-CHI1840-047-E02,CHI-CHI1840-047,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,survived outside main fire zone
CHI-CHI1840-048-E01,CHI-CHI1840-048,completion,1848,approximate,,Construction/completion evidence
CHI-CHI1840-048-E02,CHI-CHI1840-048,demolition_or_loss,1854,exact,fire,demolished
CHI-CHI1840-048-E03,CHI-CHI1840-048,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,not present
CHI-CHI1840-049-E01,CHI-CHI1840-049,completion,1848,exact,,Construction/completion evidence
CHI-CHI1840-049-E02,CHI-CHI1840-049,1871_fire_fate_assertion,1871-10-08/10,date_range,Great Chicago Fire,uncertain
CHI-CHI1840-050-E01,CHI-CHI1840-050,completion,1848,approximate,,Construction/completion evidence
CHI-CHI1840-050-E02,CHI-CHI1840-050,demolition_or_loss,1856,exact,sold and superseded,demolished
