assertion_id,building_id,field_name,asserted_value,source_keys,confidence,needs_review,research_note
CHI-B1830-011-A01,CHI-B1830-011,existence_and_identity,First Presbyterian Church,ANDREAS_RELIGION,high,true,"Verified: completed in late fall or early winter 1833 and dedicated January 4, 1834; cost about $600. Later church construction makes exposure of this original building to the 1871 fire unlikely, but a precise demolition date requires follow-up."
CHI-B1830-011-A02,CHI-B1830-011,year_completed,1833,ANDREAS_RELIGION,high,true,"Verified: completed in late fall or early winter 1833 and dedicated January 4, 1834; cost about $600. Later church construction makes exposure of this original building to the 1871 fire unlikely, but a precise demolition date requires follow-up."
CHI-B1830-011-A03,CHI-B1830-011,historical_address,"Lot 1, Block 34, southwest corner of Lake and Clark Streets",ANDREAS_RELIGION,high,true,"Verified: completed in late fall or early winter 1833 and dedicated January 4, 1834; cost about $600. Later church construction makes exposure of this original building to the 1871 fire unlikely, but a precise demolition date requires follow-up."
CHI-B1830-011-A04,CHI-B1830-011,architect_or_builder,Joseph Meeker,ANDREAS_RELIGION,high,true,"Verified: completed in late fall or early winter 1833 and dedicated January 4, 1834; cost about $600. Later church construction makes exposure of this original building to the 1871 fire unlikely, but a precise demolition date requires follow-up."
CHI-B1830-011-A05,CHI-B1830-011,fire_fate_1871,not exposed,ANDREAS_RELIGION,high,true,"Verified: completed in late fall or early winter 1833 and dedicated January 4, 1834; cost about $600. Later church construction makes exposure of this original building to the 1871 fire unlikely, but a precise demolition date requires follow-up."
CHI-B1830-012-A01,CHI-B1830-012,existence_and_identity,Green Tree Tavern,ANDREAS_EARLY;ANDREAS_HOTELS,high,false,"Verified: built by James Kinzie in 1833 and moved in 1880; Andreas reported it extant in 1884, proving survival of the 1871 fire. Later destruction/collapse is outside the cited record and should be verified before adding a demolition year."
CHI-B1830-012-A02,CHI-B1830-012,year_completed,1833,ANDREAS_EARLY;ANDREAS_HOTELS,high,false,"Verified: built by James Kinzie in 1833 and moved in 1880; Andreas reported it extant in 1884, proving survival of the 1871 fire. Later destruction/collapse is outside the cited record and should be verified before adding a demolition year."
CHI-B1830-012-A03,CHI-B1830-012,historical_address,"Lot 7, Block 22, northeast corner of North Canal and West Lake Streets",ANDREAS_EARLY;ANDREAS_HOTELS,high,false,"Verified: built by James Kinzie in 1833 and moved in 1880; Andreas reported it extant in 1884, proving survival of the 1871 fire. Later destruction/collapse is outside the cited record and should be verified before adding a demolition year."
CHI-B1830-012-A04,CHI-B1830-012,fire_fate_1871,survived,ANDREAS_EARLY;ANDREAS_HOTELS,high,false,"Verified: built by James Kinzie in 1833 and moved in 1880; Andreas reported it extant in 1884, proving survival of the 1871 fire. Later destruction/collapse is outside the cited record and should be verified before adding a demolition year."
CHI-B1830-013-A01,CHI-B1830-013,existence_and_identity,First Tremont House,ANDREAS_EARLY;ANDREAS_CIVIC;ANDREAS_HOTELS,high,false,"Verified: the first Tremont was built in 1833 and destroyed by fire October 27, 1839."
CHI-B1830-013-A02,CHI-B1830-013,year_completed,1833,ANDREAS_EARLY;ANDREAS_CIVIC;ANDREAS_HOTELS,high,false,"Verified: the first Tremont was built in 1833 and destroyed by fire October 27, 1839."
CHI-B1830-013-A03,CHI-B1830-013,historical_address,Northwest corner of Lake and Dearborn Streets,ANDREAS_EARLY;ANDREAS_CIVIC;ANDREAS_HOTELS,high,false,"Verified: the first Tremont was built in 1833 and destroyed by fire October 27, 1839."
CHI-B1830-013-A04,CHI-B1830-013,year_demolished,1839,ANDREAS_EARLY;ANDREAS_CIVIC;ANDREAS_HOTELS,high,false,"Verified: the first Tremont was built in 1833 and destroyed by fire October 27, 1839."
CHI-B1830-013-A05,CHI-B1830-013,fire_fate_1871,not exposed,ANDREAS_EARLY;ANDREAS_CIVIC;ANDREAS_HOTELS,high,false,"Verified: the first Tremont was built in 1833 and destroyed by fire October 27, 1839."
CHI-B1830-014-A01,CHI-B1830-014,existence_and_identity,First Cook County jail,ANDREAS_CIVIC,high,true,"Verified: erected in fall 1833; a separate oak-cell addition followed. It had been superseded before the fire era, but exact removal date is not established here."
CHI-B1830-014-A02,CHI-B1830-014,year_completed,1833,ANDREAS_CIVIC,high,true,"Verified: erected in fall 1833; a separate oak-cell addition followed. It had been superseded before the fire era, but exact removal date is not established here."
CHI-B1830-014-A03,CHI-B1830-014,historical_address,Northwest corner of the Public Square,ANDREAS_CIVIC,high,true,"Verified: erected in fall 1833; a separate oak-cell addition followed. It had been superseded before the fire era, but exact removal date is not established here."
CHI-B1830-014-A04,CHI-B1830-014,fire_fate_1871,not exposed,ANDREAS_CIVIC,high,true,"Verified: erected in fall 1833; a separate oak-cell addition followed. It had been superseded before the fire era, but exact removal date is not established here."
CHI-B1830-015-A01,CHI-B1830-015,existence_and_identity,John Bates house,ANDREAS_EARLY,high,true,"Verified: first house on Canal Street in fall 1833; lumber reportedly cost $700. Sold to Chief Joseph Laframboise, whose family occupied it until 1836 emigration."
CHI-B1830-015-A02,CHI-B1830-015,year_completed,1833,ANDREAS_EARLY,high,true,"Verified: first house on Canal Street in fall 1833; lumber reportedly cost $700. Sold to Chief Joseph Laframboise, whose family occupied it until 1836 emigration."
CHI-B1830-015-A03,CHI-B1830-015,historical_address,Canal Street,ANDREAS_EARLY,high,true,"Verified: first house on Canal Street in fall 1833; lumber reportedly cost $700. Sold to Chief Joseph Laframboise, whose family occupied it until 1836 emigration."
CHI-B1830-015-A04,CHI-B1830-015,fire_fate_1871,unknown,ANDREAS_EARLY,high,true,"Verified: first house on Canal Street in fall 1833; lumber reportedly cost $700. Sold to Chief Joseph Laframboise, whose family occupied it until 1836 emigration."
CHI-B1830-016-A01,CHI-B1830-016,existence_and_identity,Miller and Hall tannery shed,ANDREAS_EARLY,medium,true,Verified: a tannery shed near Miller's tavern is described as the only manufactory in 1833. Construction year is not stated; 1833 is an active-by date rather than asserted completion.
CHI-B1830-016-A02,CHI-B1830-016,year_completed,1833,ANDREAS_EARLY,medium,true,Verified: a tannery shed near Miller's tavern is described as the only manufactory in 1833. Construction year is not stated; 1833 is an active-by date rather than asserted completion.
CHI-B1830-016-A03,CHI-B1830-016,historical_address,Near Miller's tavern at Wolf Point,ANDREAS_EARLY,medium,true,Verified: a tannery shed near Miller's tavern is described as the only manufactory in 1833. Construction year is not stated; 1833 is an active-by date rather than asserted completion.
CHI-B1830-016-A04,CHI-B1830-016,architect_or_builder,John Miller; Benjamin Hall,ANDREAS_EARLY,medium,true,Verified: a tannery shed near Miller's tavern is described as the only manufactory in 1833. Construction year is not stated; 1833 is an active-by date rather than asserted completion.
CHI-B1830-016-A05,CHI-B1830-016,fire_fate_1871,unknown,ANDREAS_EARLY,medium,true,Verified: a tannery shed near Miller's tavern is described as the only manufactory in 1833. Construction year is not stated; 1833 is an active-by date rather than asserted completion.
CHI-B1830-017-A01,CHI-B1830-017,existence_and_identity,First Chicago harbor south pier section,ANDREAS_EARLY;EOC_INFRASTRUCTURE,medium,true,"Verified: pier work was underway in 1833; the Encyclopedia states the Army Corps completed the initial channel work in 1834. This row represents an infrastructure segment, not a conventional building."
CHI-B1830-017-A02,CHI-B1830-017,year_completed,1834,ANDREAS_EARLY;EOC_INFRASTRUCTURE,medium,true,"Verified: pier work was underway in 1833; the Encyclopedia states the Army Corps completed the initial channel work in 1834. This row represents an infrastructure segment, not a conventional building."
CHI-B1830-017-A03,CHI-B1830-017,historical_address,South side of the Chicago River mouth,ANDREAS_EARLY;EOC_INFRASTRUCTURE,medium,true,"Verified: pier work was underway in 1833; the Encyclopedia states the Army Corps completed the initial channel work in 1834. This row represents an infrastructure segment, not a conventional building."
CHI-B1830-017-A04,CHI-B1830-017,architect_or_builder,U.S. Army engineers,ANDREAS_EARLY;EOC_INFRASTRUCTURE,medium,true,"Verified: pier work was underway in 1833; the Encyclopedia states the Army Corps completed the initial channel work in 1834. This row represents an infrastructure segment, not a conventional building."
CHI-B1830-017-A05,CHI-B1830-017,fire_fate_1871,not exposed,ANDREAS_EARLY;EOC_INFRASTRUCTURE,medium,true,"Verified: pier work was underway in 1833; the Encyclopedia states the Army Corps completed the initial channel work in 1834. This row represents an infrastructure segment, not a conventional building."
CHI-B1830-018-A01,CHI-B1830-018,existence_and_identity,Dearborn Street drawbridge,ANDREAS_EARLY;ANDREAS_CIVIC,high,false,Verified: constructed in March 1834 by William Norton and demolished in 1839.
CHI-B1830-018-A02,CHI-B1830-018,year_completed,1834,ANDREAS_EARLY;ANDREAS_CIVIC,high,false,Verified: constructed in March 1834 by William Norton and demolished in 1839.
CHI-B1830-018-A03,CHI-B1830-018,historical_address,Chicago River at Dearborn Street,ANDREAS_EARLY;ANDREAS_CIVIC,high,false,Verified: constructed in March 1834 by William Norton and demolished in 1839.
CHI-B1830-018-A04,CHI-B1830-018,architect_or_builder,William Norton,ANDREAS_EARLY;ANDREAS_CIVIC,high,false,Verified: constructed in March 1834 by William Norton and demolished in 1839.
CHI-B1830-018-A05,CHI-B1830-018,year_demolished,1839,ANDREAS_EARLY;ANDREAS_CIVIC,high,false,Verified: constructed in March 1834 by William Norton and demolished in 1839.
CHI-B1830-018-A06,CHI-B1830-018,fire_fate_1871,not exposed,ANDREAS_EARLY;ANDREAS_CIVIC,high,false,Verified: constructed in March 1834 by William Norton and demolished in 1839.
CHI-B1830-019-A01,CHI-B1830-019,existence_and_identity,Exchange Coffee House,ANDREAS_HOTELS,high,true,Verified: completed in 1834 and first operated in August by John and Harriet Murphy. Later fate is not established in the cited account.
CHI-B1830-019-A02,CHI-B1830-019,year_completed,1834,ANDREAS_HOTELS,high,true,Verified: completed in 1834 and first operated in August by John and Harriet Murphy. Later fate is not established in the cited account.
CHI-B1830-019-A03,CHI-B1830-019,historical_address,Northwest corner of Wells and Lake Streets,ANDREAS_HOTELS,high,true,Verified: completed in 1834 and first operated in August by John and Harriet Murphy. Later fate is not established in the cited account.
CHI-B1830-019-A04,CHI-B1830-019,fire_fate_1871,unknown,ANDREAS_HOTELS,high,true,Verified: completed in 1834 and first operated in August by John and Harriet Murphy. Later fate is not established in the cited account.
CHI-B1830-020-A01,CHI-B1830-020,existence_and_identity,First Methodist Episcopal Church,ANDREAS_RELIGION,high,true,"Verified: building contract dated June 30, 1834 for $580; completed for use that year. Moved across the river on scows in summer 1838 and enlarged. This corrects the inherited asset's unsupported 1836 date."
CHI-B1830-020-A02,CHI-B1830-020,year_completed,1834,ANDREAS_RELIGION,high,true,"Verified: building contract dated June 30, 1834 for $580; completed for use that year. Moved across the river on scows in summer 1838 and enlarged. This corrects the inherited asset's unsupported 1836 date."
CHI-B1830-020-A03,CHI-B1830-020,historical_address,North Water and Clark Streets,ANDREAS_RELIGION,high,true,"Verified: building contract dated June 30, 1834 for $580; completed for use that year. Moved across the river on scows in summer 1838 and enlarged. This corrects the inherited asset's unsupported 1836 date."
CHI-B1830-020-A04,CHI-B1830-020,architect_or_builder,Henry Whitehead; John Stewart,ANDREAS_RELIGION,high,true,"Verified: building contract dated June 30, 1834 for $580; completed for use that year. Moved across the river on scows in summer 1838 and enlarged. This corrects the inherited asset's unsupported 1836 date."
CHI-B1830-020-A05,CHI-B1830-020,fire_fate_1871,unknown,ANDREAS_RELIGION,high,true,"Verified: building contract dated June 30, 1834 for $580; completed for use that year. Moved across the river on scows in summer 1838 and enlarged. This corrects the inherited asset's unsupported 1836 date."
CHI-B1830-021-A01,CHI-B1830-021,existence_and_identity,Briggs and Humphrey wagon shop,ANDREAS_MFG,high,true,Verified: manufacturing history dates the Randolph Street shop to spring 1834. Exact address and fabric are not supplied.
CHI-B1830-021-A02,CHI-B1830-021,year_completed,1834,ANDREAS_MFG,high,true,Verified: manufacturing history dates the Randolph Street shop to spring 1834. Exact address and fabric are not supplied.
CHI-B1830-021-A03,CHI-B1830-021,historical_address,Randolph Street,ANDREAS_MFG,high,true,Verified: manufacturing history dates the Randolph Street shop to spring 1834. Exact address and fabric are not supplied.
CHI-B1830-021-A04,CHI-B1830-021,fire_fate_1871,unknown,ANDREAS_MFG,high,true,Verified: manufacturing history dates the Randolph Street shop to spring 1834. Exact address and fabric are not supplied.
CHI-B1830-022-A01,CHI-B1830-022,existence_and_identity,New York House,ANDREAS_HOTELS,medium,true,Verified: built in 1834 and opened in 1835 by Lathrop Johnson and George Stevens. Exact location and fate need additional directory/deed research.
CHI-B1830-022-A02,CHI-B1830-022,year_completed,1834,ANDREAS_HOTELS,medium,true,Verified: built in 1834 and opened in 1835 by Lathrop Johnson and George Stevens. Exact location and fate need additional directory/deed research.
CHI-B1830-022-A03,CHI-B1830-022,historical_address,Address not established in cited passage,ANDREAS_HOTELS,medium,true,Verified: built in 1834 and opened in 1835 by Lathrop Johnson and George Stevens. Exact location and fate need additional directory/deed research.
CHI-B1830-022-A04,CHI-B1830-022,fire_fate_1871,unknown,ANDREAS_HOTELS,medium,true,Verified: built in 1834 and opened in 1835 by Lathrop Johnson and George Stevens. Exact location and fate need additional directory/deed research.
CHI-B1830-023-A01,CHI-B1830-023,existence_and_identity,John S. Wright schoolhouse,ANDREAS_CIVIC,high,true,"Verified: first Chicago building erected specifically for school purposes, financed privately, with Ruth Leavenworth teaching. It is not the later 1845 Dearborn School known as 'Miltimore's Folly.'"
CHI-B1830-023-A02,CHI-B1830-023,year_completed,1835,ANDREAS_CIVIC,high,true,"Verified: first Chicago building erected specifically for school purposes, financed privately, with Ruth Leavenworth teaching. It is not the later 1845 Dearborn School known as 'Miltimore's Folly.'"
CHI-B1830-023-A03,CHI-B1830-023,historical_address,Clark Street just south of Lake Street,ANDREAS_CIVIC,high,true,"Verified: first Chicago building erected specifically for school purposes, financed privately, with Ruth Leavenworth teaching. It is not the later 1845 Dearborn School known as 'Miltimore's Folly.'"
CHI-B1830-023-A04,CHI-B1830-023,fire_fate_1871,not exposed,ANDREAS_CIVIC,high,true,"Verified: first Chicago building erected specifically for school purposes, financed privately, with Ruth Leavenworth teaching. It is not the later 1845 Dearborn School known as 'Miltimore's Folly.'"
CHI-B1830-024-A01,CHI-B1830-024,existence_and_identity,First Cook County Courthouse,ANDREAS_CIVIC;ANDREAS_ARCH,high,true,"Verified: completed in fall 1835, with offices below and a courtroom seating about 200 above. It was superseded before 1871; exact demolition/removal date requires follow-up."
CHI-B1830-024-A02,CHI-B1830-024,year_completed,1835,ANDREAS_CIVIC;ANDREAS_ARCH,high,true,"Verified: completed in fall 1835, with offices below and a courtroom seating about 200 above. It was superseded before 1871; exact demolition/removal date requires follow-up."
CHI-B1830-024-A03,CHI-B1830-024,historical_address,Northeast corner of Public Square at Clark and Randolph Streets,ANDREAS_CIVIC;ANDREAS_ARCH,high,true,"Verified: completed in fall 1835, with offices below and a courtroom seating about 200 above. It was superseded before 1871; exact demolition/removal date requires follow-up."
CHI-B1830-024-A04,CHI-B1830-024,fire_fate_1871,not exposed,ANDREAS_CIVIC;ANDREAS_ARCH,high,true,"Verified: completed in fall 1835, with offices below and a courtroom seating about 200 above. It was superseded before 1871; exact demolition/removal date requires follow-up."
CHI-B1830-025-A01,CHI-B1830-025,existence_and_identity,First fire engine house,ANDREAS_CIVIC,medium,true,Verified: an engine house costing $200 was completed by 1836 and stood on the Public Square by 1837. Exact completion date within 1835-36 is not clear.
