date,date_display,volume,number,source_file,source_pdf_pages,printed_pages,columns_per_page,column_markers,word_count,uncertainty_markers,ocr_methods,txt_filename,docx_filename,notes
1834-04-23,"April 23, 1834",I,21,Apr1834-May1834.pdf,13-16,4,8,32,18011,306,Tesseract fallback (p14_c3.txt); Tesseract fallback (p15_c4.txt); Tesseract fallback (p15_c5.txt); Tesseract fallback (p15_c6.txt); Tesseract fallback (p15_c8.txt); Tesseract fallback (p16_c1.txt); Tesseract fallback (p16_c2.txt); Tesseract fallback (p16_c3.txt); Tesseract fallback (p16_c4.txt); Tesseract fallback (p16_c5.txt); Tesseract fallback (p16_c7.txt); Tesseract fallback (p16_c8.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-04-23_VolI_No21_Transcription.txt,Chicago_Democrat_1834-04-23_VolI_No21_Transcription.docx,
1834-04-30,"April 30, 1834",I,22,Apr1834-May1834.pdf,17-20,4,8,32,21072,340,Tesseract fallback (p18_c3.txt); Tesseract fallback (p18_c7.txt); Tesseract fallback (p18_c8.txt); Tesseract fallback (p19_c1.txt); Tesseract fallback (p19_c3.txt); Tesseract fallback (p19_c6.txt); Tesseract fallback (p20_c1.txt); Tesseract fallback (p20_c2.txt); Tesseract fallback (p20_c3.txt); Tesseract fallback (p20_c4.txt); Tesseract fallback (p20_c5.txt); Tesseract fallback (p20_c7.txt); Tesseract fallback (p20_c8.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-04-30_VolI_No22_Transcription.txt,Chicago_Democrat_1834-04-30_VolI_No22_Transcription.docx,
1834-05-07,"May 7, 1834",I,23,Apr1834-May1834.pdf,21-24,4,8,32,19934,523,Tesseract fallback (p22_c3.txt); Tesseract fallback (p22_c4.txt); Tesseract fallback (p22_c6.txt); Tesseract fallback (p22_c7.txt); Tesseract fallback (p23_c3.txt); Tesseract fallback (p23_c5.txt); Tesseract fallback (p23_c6.txt); Tesseract fallback (p24_c2.txt); Tesseract fallback (p24_c3.txt); Tesseract fallback (p24_c7.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-05-07_VolI_No23_Transcription.txt,Chicago_Democrat_1834-05-07_VolI_No23_Transcription.docx,PDF pages 25-26 are alternate witnesses associated with this vicinity of the scan sequence and were used only for comparison.
1834-05-14,"May 14, 1834",I,24,Apr1834-May1834.pdf,27-30,4,8,32,20841,263,Tesseract fallback (p28_c1.txt); Tesseract fallback (p28_c2.txt); Tesseract fallback (p28_c3.txt); Tesseract fallback (p28_c4.txt); Tesseract fallback (p28_c8.txt); Tesseract fallback (p29_c2.txt); Tesseract fallback (p29_c5.txt); Tesseract fallback (p29_c6.txt); Tesseract fallback (p29_c8.txt); Tesseract fallback (p30_c1.txt); Tesseract fallback (p30_c2.txt); Tesseract fallback (p30_c3.txt); Tesseract fallback (p30_c4.txt); Tesseract fallback (p30_c5.txt); Tesseract fallback (p30_c6.txt); Tesseract fallback (p30_c7.txt); Tesseract fallback (p30_c8.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-05-14_VolI_No24_Transcription.txt,Chicago_Democrat_1834-05-14_VolI_No24_Transcription.docx,
1834-05-21,"May 21, 1834",I,25,Apr1834-May1834.pdf,33-36,4,8,32,22023,220,Tesseract fallback (p33_c3.txt); Tesseract fallback (p33_c4.txt); Tesseract fallback (p33_c5.txt); Tesseract fallback (p33_c6.txt); Tesseract fallback (p33_c7.txt); Tesseract fallback (p34_c1.txt); Tesseract fallback (p34_c2.txt); Tesseract fallback (p34_c3.txt); Tesseract fallback (p34_c4.txt); Tesseract fallback (p35_c4.txt); Tesseract fallback (p35_c5.txt); Tesseract fallback (p35_c6.txt); Tesseract fallback (p35_c8.txt); Tesseract fallback (p36_c1.txt); Tesseract fallback (p36_c2.txt); Tesseract fallback (p36_c3.txt); Tesseract fallback (p36_c4.txt); Tesseract fallback (p36_c5.txt); Tesseract fallback (p36_c6.txt); Tesseract fallback (p36_c7.txt); Tesseract fallback (p36_c8.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-05-21_VolI_No25_Transcription.txt,Chicago_Democrat_1834-05-21_VolI_No25_Transcription.docx,PDF pages 31-32 are alternate witnesses of the beginning of this issue; pages 33-36 form the complete canonical witness.
1834-05-28,"May 28, 1834",I,26,Apr1834-May1834.pdf,37-40,4,8,32,19277,416,Tesseract fallback (p38_c1.txt); Tesseract fallback (p38_c2.txt); Tesseract fallback (p38_c3.txt); Tesseract fallback (p38_c7.txt); Tesseract fallback (p39_c2.txt); Tesseract fallback (p39_c4.txt); Tesseract fallback (p39_c5.txt); Tesseract fallback (p39_c6.txt); Tesseract fallback (p39_c8.txt); Tesseract fallback (p40_c1.txt); Tesseract fallback (p40_c2.txt); Tesseract fallback (p40_c3.txt); Tesseract fallback (p40_c4.txt); Tesseract fallback (p40_c5.txt); Tesseract fallback (p40_c7.txt); Tesseract fallback (p40_c8.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-05-28_VolI_No26_Transcription.txt,Chicago_Democrat_1834-05-28_VolI_No26_Transcription.docx,
1834-06-04,"June 4, 1834",I,27,Jun1834-Jul1834.pdf,1-4,4,6,24,19732,80,Tesseract fallback (page-01-col-2.txt); Tesseract fallback (page-01-col-3.txt); Tesseract fallback (page-01-col-4.txt); Tesseract fallback (page-01-col-5.txt); Tesseract fallback (page-01-col-6.txt); Tesseract fallback (page-02-col-1.txt); Tesseract fallback (page-02-col-2.txt); Tesseract fallback (page-02-col-3.txt); Tesseract fallback (page-02-col-6.txt); Tesseract fallback (page-03-col-1.txt); Tesseract fallback (page-03-col-2.txt); Tesseract fallback (page-03-col-3.txt); Tesseract fallback (page-03-col-4.txt); Tesseract fallback (page-03-col-5.txt); Tesseract fallback (page-03-col-6.txt); Tesseract fallback (page-04-col-1.txt); Tesseract fallback (page-04-col-2.txt); Tesseract fallback (page-04-col-3.txt); Tesseract fallback (page-04-col-4.txt); Tesseract fallback (page-04-col-5.txt); Tesseract fallback (page-04-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-06-04_VolI_No27_Transcription.txt,Chicago_Democrat_1834-06-04_VolI_No27_Transcription.docx,
1834-06-11,"June 11, 1834",I,28,Jun1834-Jul1834.pdf,5-8,4,6,24,18581,182,Tesseract fallback (page-05-col-2.txt); Tesseract fallback (page-05-col-3.txt); Tesseract fallback (page-05-col-4.txt); Tesseract fallback (page-05-col-5.txt); Tesseract fallback (page-05-col-6.txt); Tesseract fallback (page-07-col-1.txt); Tesseract fallback (page-07-col-2.txt); Tesseract fallback (page-07-col-3.txt); Tesseract fallback (page-07-col-4.txt); Tesseract fallback (page-07-col-5.txt); Tesseract fallback (page-07-col-6.txt); Tesseract fallback (page-08-col-1.txt); Tesseract fallback (page-08-col-2.txt); Tesseract fallback (page-08-col-3.txt); Tesseract fallback (page-08-col-4.txt); Tesseract fallback (page-08-col-5.txt); Tesseract fallback (page-08-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-06-11_VolI_No28_Transcription.txt,Chicago_Democrat_1834-06-11_VolI_No28_Transcription.docx,
1834-06-18,"June 18, 1834",I,29,Jun1834-Jul1834.pdf,9-12,4,6,24,22555,198,Tesseract fallback (page-09-col-6.txt); Tesseract fallback (page-11-col-2.txt); Tesseract fallback (page-11-col-3.txt); Tesseract fallback (page-11-col-4.txt); Tesseract fallback (page-11-col-5.txt); Tesseract fallback (page-11-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-06-18_VolI_No29_Transcription.txt,Chicago_Democrat_1834-06-18_VolI_No29_Transcription.docx,
1834-06-25,"June 25, 1834",I,30,Jun1834-Jul1834.pdf,13-16,4,6,24,20893,266,Tesseract fallback (page-15-col-1.txt); Tesseract fallback (page-15-col-2.txt); Tesseract fallback (page-15-col-4.txt); Tesseract fallback (page-15-col-5.txt); Tesseract fallback (page-15-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-06-25_VolI_No30_Transcription.txt,Chicago_Democrat_1834-06-25_VolI_No30_Transcription.docx,
1834-07-02,"July 2, 1834",I,31,Jun1834-Jul1834.pdf,17-20,4,6,24,24171,163,Tesseract fallback (page-20-col-1.txt); Tesseract fallback (page-20-col-2.txt); Tesseract fallback (page-20-col-3.txt); Tesseract fallback (page-20-col-4.txt); Tesseract fallback (page-20-col-5.txt); Tesseract fallback (page-20-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-07-02_VolI_No31_Transcription.txt,Chicago_Democrat_1834-07-02_VolI_No31_Transcription.docx,
1834-07-09,"July 9, 1834",I,32,Jun1834-Jul1834.pdf,21-24,4,6,24,18953,261,Tesseract fallback (page-22-col-1.txt); Tesseract fallback (page-22-col-2.txt); Tesseract fallback (page-23-col-3.txt); Tesseract fallback (page-23-col-5.txt); Tesseract fallback (page-23-col-6.txt); Tesseract fallback (page-24-col-1.txt); Tesseract fallback (page-24-col-2.txt); Tesseract fallback (page-24-col-3.txt); Tesseract fallback (page-24-col-4.txt); Tesseract fallback (page-24-col-5.txt); Tesseract fallback (page-24-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-07-09_VolI_No32_Transcription.txt,Chicago_Democrat_1834-07-09_VolI_No32_Transcription.docx,
1834-07-16,"July 16, 1834",I,33,Jun1834-Jul1834.pdf,25-28,4,6,24,22435,427,Tesseract fallback (page-26-col-1.txt); Tesseract fallback (page-26-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-07-16_VolI_No33_Transcription.txt,Chicago_Democrat_1834-07-16_VolI_No33_Transcription.docx,
1834-07-23,"July 23, 1834",I,34,Jun1834-Jul1834.pdf,29-32,4,6,24,23415,123,Tesseract fallback (page-31-col-1.txt); Tesseract fallback (page-31-col-2.txt); Tesseract fallback (page-31-col-3.txt); Tesseract fallback (page-31-col-4.txt); Tesseract fallback (page-31-col-5.txt); Tesseract fallback (page-31-col-6.txt); Tesseract fallback (page-32-col-1.txt); Tesseract fallback (page-32-col-2.txt); Tesseract fallback (page-32-col-3.txt); Tesseract fallback (page-32-col-4.txt); Tesseract fallback (page-32-col-5.txt); Tesseract fallback (page-32-col-6.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-07-23_VolI_No34_Transcription.txt,Chicago_Democrat_1834-07-23_VolI_No34_Transcription.docx,
1834-07-30,"July 30, 1834",I,35,Jun1834-Jul1834.pdf,33-36,4,6,24,23646,587,Vision with Tesseract cross-check,Chicago_Democrat_1834-07-30_VolI_No35_Transcription.txt,Chicago_Democrat_1834-07-30_VolI_No35_Transcription.docx,
1834-08-06,"August 6, 1834",I,36,Aug1834-Sep1834.pdf,1-4,4,6,24,15959,398,Tesseract fallback (page-03-col-3.txt); Tesseract fallback (page-04-col-1.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-08-06_VolI_No36_Transcription.txt,Chicago_Democrat_1834-08-06_VolI_No36_Transcription.docx,
1834-08-13,"August 13, 1834",I,37,Aug1834-Sep1834.pdf,5-8,4,6,24,17385,695,Tesseract fallback (page-07-col-3.txt); Tesseract fallback (page-08-col-1.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-08-13_VolI_No37_Transcription.txt,Chicago_Democrat_1834-08-13_VolI_No37_Transcription.docx,
1834-08-20,"August 20, 1834",I,38,Aug1834-Sep1834.pdf,9-12,4,6,24,18618,725,Tesseract fallback (page-12-col-1.txt); Tesseract fallback (page-12-col-4.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-08-20_VolI_No38_Transcription.txt,Chicago_Democrat_1834-08-20_VolI_No38_Transcription.docx,
1834-08-27,"August 27, 1834",I,39,Aug1834-Sep1834.pdf,13-16,4,6,24,18862,723,Tesseract fallback (page-16-col-1.txt); Tesseract fallback (page-16-col-4.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-08-27_VolI_No39_Transcription.txt,Chicago_Democrat_1834-08-27_VolI_No39_Transcription.docx,
1834-09-03,"September 3, 1834",I,40,Aug1834-Sep1834.pdf,17-20,4,6,24,19292,464,Tesseract fallback (page-19-col-3.txt); Tesseract fallback (page-19-col-5.txt); Tesseract fallback (page-20-col-1.txt); Tesseract fallback (page-20-col-2.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-09-03_VolI_No40_Transcription.txt,Chicago_Democrat_1834-09-03_VolI_No40_Transcription.docx,
1834-09-10,"September 10, 1834",I,41,Aug1834-Sep1834.pdf,21-24,4,6,24,19552,507,Tesseract fallback (page-22-col-3.txt); Tesseract fallback (page-23-col-2.txt); Tesseract fallback (page-23-col-5.txt); Tesseract fallback (page-24-col-1.txt); Tesseract fallback (page-24-col-5.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-09-10_VolI_No41_Transcription.txt,Chicago_Democrat_1834-09-10_VolI_No41_Transcription.docx,
1834-09-17,"September 17, 1834",I,42,Aug1834-Sep1834.pdf,25-28,4,6,24,19495,623,Tesseract fallback (page-27-col-3.txt); Tesseract fallback (page-27-col-4.txt); Tesseract fallback (page-27-col-5.txt); Tesseract fallback (page-28-col-1.txt); Tesseract fallback (page-28-col-4.txt); Tesseract fallback (page-28-col-5.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-09-17_VolI_No42_Transcription.txt,Chicago_Democrat_1834-09-17_VolI_No42_Transcription.docx,
1834-09-24,"September 24, 1834",I,43,Aug1834-Sep1834.pdf,29-32,4,6,24,17839,578,Tesseract fallback (page-31-col-2.txt); Tesseract fallback (page-32-col-4.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-09-24_VolI_No43_Transcription.txt,Chicago_Democrat_1834-09-24_VolI_No43_Transcription.docx,
1834-10-01,"October 1, 1834",I,44,Oct1834-Dec1834.pdf,1-4,4,6,24,17983,803,Tesseract fallback (page-03-col-1.txt); Tesseract fallback (page-04-col-1.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-10-01_VolI_No44_Transcription.txt,Chicago_Democrat_1834-10-01_VolI_No44_Transcription.docx,A duplicate witness also appears as PDF pages 33-36 of Aug1834-Sep1834.pdf and was used for comparison.
1834-10-08,"October 8, 1834",I,45,Oct1834-Dec1834.pdf,5-8,4,6,24,21470,181,Tesseract fallback (page-05-col-3.txt); Tesseract fallback (page-05-col-4.txt); Tesseract fallback (page-05-col-5.txt); Tesseract fallback (page-06-col-1.txt); Tesseract fallback (page-06-col-2.txt); Tesseract fallback (page-06-col-3.txt); Tesseract fallback (page-06-col-4.txt); Tesseract fallback (page-06-col-5.txt); Tesseract fallback (page-07-col-1.txt); Tesseract fallback (page-07-col-2.txt); Tesseract fallback (page-07-col-3.txt); Tesseract fallback (page-07-col-4.txt); Tesseract fallback (page-08-col-1.txt); Tesseract fallback (page-08-col-2.txt); Tesseract fallback (page-08-col-3.txt); Tesseract fallback (page-08-col-4.txt); Tesseract fallback (page-08-col-5.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-10-08_VolI_No45_Transcription.txt,Chicago_Democrat_1834-10-08_VolI_No45_Transcription.docx,
1834-10-15,"October 15, 1834",I,46,Oct1834-Dec1834.pdf,9-12,4,6,24,22321,214,Tesseract fallback (page-09-col-1.txt); Tesseract fallback (page-09-col-2.txt); Tesseract fallback (page-09-col-3.txt); Tesseract fallback (page-09-col-5.txt); Tesseract fallback (page-10-col-1.txt); Tesseract fallback (page-10-col-2.txt); Tesseract fallback (page-10-col-3.txt); Tesseract fallback (page-10-col-4.txt); Tesseract fallback (page-11-col-1.txt); Tesseract fallback (page-11-col-2.txt); Tesseract fallback (page-11-col-3.txt); Tesseract fallback (page-11-col-4.txt); Tesseract fallback (page-11-col-5.txt); Tesseract fallback (page-12-col-1.txt); Tesseract fallback (page-12-col-2.txt); Tesseract fallback (page-12-col-4.txt); Tesseract fallback (page-12-col-5.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-10-15_VolI_No46_Transcription.txt,Chicago_Democrat_1834-10-15_VolI_No46_Transcription.docx,
1834-10-22,"October 22, 1834",I,47,Oct1834-Dec1834.pdf,13-16,4,6,24,22936,190,Tesseract fallback (page-13-col-1.txt); Tesseract fallback (page-13-col-2.txt); Tesseract fallback (page-13-col-3.txt); Tesseract fallback (page-13-col-4.txt); Tesseract fallback (page-13-col-5.txt); Tesseract fallback (page-14-col-1.txt); Tesseract fallback (page-14-col-2.txt); Tesseract fallback (page-14-col-3.txt); Tesseract fallback (page-14-col-4.txt); Tesseract fallback (page-15-col-1.txt); Tesseract fallback (page-15-col-2.txt); Tesseract fallback (page-15-col-3.txt); Tesseract fallback (page-15-col-4.txt); Tesseract fallback (page-15-col-5.txt); Tesseract fallback (page-16-col-1.txt); Tesseract fallback (page-16-col-2.txt); Tesseract fallback (page-16-col-3.txt); Tesseract fallback (page-16-col-4.txt); Tesseract fallback (page-16-col-5.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-10-22_VolI_No47_Transcription.txt,Chicago_Democrat_1834-10-22_VolI_No47_Transcription.docx,
1834-10-29,"October 29, 1834",I,48,Oct1834-Dec1834.pdf,17-20,4,6,24,20893,375,Tesseract fallback (page-17-col-2.txt); Tesseract fallback (page-17-col-3.txt); Tesseract fallback (page-17-col-4.txt); Tesseract fallback (page-17-col-5.txt); Tesseract fallback (page-18-col-2.txt); Tesseract fallback (page-18-col-3.txt); Tesseract fallback (page-18-col-4.txt); Tesseract fallback (page-19-col-2.txt); Tesseract fallback (page-19-col-3.txt); Tesseract fallback (page-19-col-4.txt); Tesseract fallback (page-19-col-5.txt); Tesseract fallback (page-20-col-1.txt); Tesseract fallback (page-20-col-2.txt); Tesseract fallback (page-20-col-3.txt); Tesseract fallback (page-20-col-4.txt); Tesseract fallback (page-20-col-5.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-10-29_VolI_No48_Transcription.txt,Chicago_Democrat_1834-10-29_VolI_No48_Transcription.docx,
1834-11-05,"November 5, 1834",I,49,Oct1834-Dec1834.pdf,21-24,4,6,24,20448,325,Tesseract fallback (page-21-col-1.txt); Tesseract fallback (page-21-col-4.txt); Tesseract fallback (page-22-col-2.txt); Tesseract fallback (page-22-col-3.txt); Tesseract fallback (page-23-col-1.txt); Tesseract fallback (page-23-col-2.txt); Tesseract fallback (page-23-col-3.txt); Tesseract fallback (page-23-col-4.txt); Tesseract fallback (page-23-col-5.txt); Tesseract fallback (page-24-col-1.txt); Tesseract fallback (page-24-col-2.txt); Tesseract fallback (page-24-col-4.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-11-05_VolI_No49_Transcription.txt,Chicago_Democrat_1834-11-05_VolI_No49_Transcription.docx,
1834-11-12,"November 12, 1834",I,50,Oct1834-Dec1834.pdf,25-28,4,6,24,20987,483,Tesseract fallback (page-25-col-4.txt); Tesseract fallback (page-25-col-5.txt); Tesseract fallback (page-26-col-1.txt); Tesseract fallback (page-27-col-2.txt); Tesseract fallback (page-27-col-3.txt); Tesseract fallback (page-27-col-4.txt); Tesseract fallback (page-27-col-5.txt); Tesseract fallback (page-28-col-1.txt); Tesseract fallback (page-28-col-2.txt); Tesseract fallback (page-28-col-3.txt); Tesseract fallback (page-28-col-5.txt); Vision with Tesseract cross-check,Chicago_Democrat_1834-11-12_VolI_No50_Transcription.txt,Chicago_Democrat_1834-11-12_VolI_No50_Transcription.docx,
