ticket,source_id,cited_by_people,type,citation,date,describes_date,tier,rights_status,url,locator,limitations
T-0463,loc_mantowoc_benjamin_jones,1,website,"Library of Congress, Historic American Engineering Record WI-78, Eighth Street Bridge historical report",accessed 2026-09-01,1835-1836,4,check_required,https://tile.loc.gov/storage-services/master/pnp/habshaer/wi/wi0300/wi0348/data/wi0348data.pdf,historical background naming Benjamin Jones,Government historical report reviewed for T-0463. It calls Jones a Chicago merchant and land speculator and dates his Manitowoc purchase to 1835 and settlement there to 1836.
T-0463,michigan_hh_comstock_history,2,website,"History of Kalamazoo County, Michigan (1876), H. H. Comstock pioneer roster",accessed 2026-09-01,1834,4,check_required,https://www.migenweb.org/kalamazoo/1876history.htm,early-settler roster,"Digitized county history reviewed for T-0463. The exact initials make a plausible Michigan candidate, but no Chicago-to-Kalamazoo bridge was located."
T-0463,migenweb_clark_albee_grand_haven,2,website,"History of Grand Haven (1878), Clark B. Albee and David Carver passage",accessed 2026-09-01,1835-1837,4,check_required,https://migenweb.org/ottawa/towns/grhaven/1878history.html,early commerce chapter,Digitized local history reviewed for T-0463. It places exact-name Albee in Grand Haven commerce; no record equates him with Chicago's addressee.
T-0463,norris_chicago_directory_1843,4,website,"J. W. Norris, General Directory and Business Advertiser of Chicago for 1843",accessed 2026-09-01,nineteenth century,4,check_required,https://archive.org/download/generaldirector00norr/generaldirector00norr.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0463,ohio_firelands_rouse_bly,2,website,"Firelands Pioneer, 1888, Rouse Bly passage",accessed 2026-09-01,nineteenth century,4,check_required,https://www.ohiogenealogyexpress.com/huron/huronco_firelandpioneers_qtlys/huronco_fireland_1888_Vol_V/huronco_fireland_1888_vol_v_July_pg_060_104.htm,New Haven and Peru stations section,"Transcribed county-history periodical reviewed for T-0463. It supplies a competing exact-name Ohio identity, not a bridge to the Chicago letter."
T-0463,plainfield_john_temple_report,1,website,"Plainfield Historic Preservation Commission, John Taylor Temple report",accessed 2026-09-01,nineteenth century,4,check_required,https://d3n9y02raazwpg.cloudfront.net/plainfieldil/7d2f98dd-3f4c-11e8-b712-00505691de41-a802ee97-cced-4ca0-98e5-b7ba7d6db94a-1524588783.pdf,named person or event entry,Reviewed for T-0462. Used only to the degree described in the resident research review; identity candidates remain unasserted.
T-0463,porter_curtis_parkes,2,website,"History of Porter County, Indiana (1882), organization and election chapter",accessed 2026-09-01,1834-1836,4,check_required,https://www.inportercounty.org/Data/Misc/PorterCountyHistory-1882/PorterCountyHistory-1882-Chapter02.html,23 February 1836 voter roster,Digitized county history reviewed for T-0463. Exact-name Parkes appears in Porter's 1836 organization vote; the Chicago letter may reflect regional routing.
T-0463,rockford_first_settlers_1835,2,website,"History of Rockford and Winnebago County, first-settlers roster",accessed 2026-09-01,1835-1836,4,check_required,https://genealogytrails.com/ill/winnebago/firstsettlers.html,township settler lists,Transcribed county history reviewed for T-0463. William G. Blair appears among early Winnebago County settlers; the common name and absent letter bridge keep the identity unasserted.
T-0463,tsaha_joseph_chadwick,2,website,"Craig H. Roell, 'Chadwick, Joseph M.,' Handbook of Texas Online",accessed 2026-09-01,1812-1836,4,check_required,https://www.tshaonline.org/handbook/entries/chadwick-joseph-m,biographical entry,"Scholarly state-historical encyclopedia reviewed for T-0463. The candidate lived in Illinois before reaching Texas in December 1835, but the entry supplies no Chicago-letter bridge."
T-0463,uiuc_daniel_elston_papers,1,website,"University of Illinois, Illinois History and Lincoln Collections, Daniel Elston papers catalog record",accessed 2026-09-01,nineteenth century,4,check_required,https://archon.library.illinois.edu/ihlc/index.php?p=collections/controlcard&id=614,collection description,"Institutional finding aid reviewed for T-0463. It corroborates Elston's 1833 arrival, English origin and soap-and-candle manufacture; it is not a scene-date address."
