ticket,cohort,person_id,household_id,name_transcribed,stratum,starting_grade,letter_list_dates,research_outcome,ladder_rule,candidate_id,source_ids,evidence_seen,refusals_seen,summary
T-0509,pass_14,lewis_samuel,hh_lewis_samuel,Samuel Lewis,established_profile,attested,,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,census_1840_ruled;newberry_leads;newspaper_register;old_settler_deaths,census_1840_ruled;old_settler_deaths,"Samuel Lewis is held as a candidate and not asserted: 6 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the census 1840 chicago familysearch images, chicago tribune 1882 04 25 old settler deaths agreement is a surname-only refusal; the papers carry the name 1834-07-02 to 1835-08-05, 1835-08-12 as schoolteacher."
T-0509,pass_14,chamberlain_l_c,hh_chamberlain_l_c,L. C Chamberlain,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,newberry_leads;newspaper_register,newberry_leads,"L. C Chamberlain is held as a candidate and not asserted: 5 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the newberry genealogical index agreement is a surname-only refusal; the papers hold the name only on the post-office return(s) of 1834-07-16, 1835-07-01."
T-0509,pass_14,dunn_dangerfield,hh_dunn_dangerfield,Dangerfield Dunn,letter_list_only_uncertain,inferred,1835-05-20,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,fergus_1843;newberry_leads;newspaper_register;norris_1844,fergus_1843;newberry_leads;norris_1844,"Dangerfield Dunn is held as a candidate and not asserted: 1 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the fergus chicago directory 1843, newberry genealogical index, norris directory 1844 agreement is a surname-only refusal; the papers hold the name only on the post-office return(s) of 1835-05-20."
T-0509,pass_14,sabine_wm,hh_sabine_wm,Wm. Sabine,established_profile,attested,,corroborated_enrichment,R1,,fergus_chicago_directory_1839,address_backproj;fergus_1839;fergus_1839_election;newspaper_register;spend_crosswalk,spend_crosswalk,"Fergus 1839 prints 'Sabine, William A., boarding-house, 161 Lake street, up stairs' and the 1837 election return 'W. Sabine'. The forename expands Wm. and the trade is new to his record; the middle initial A. is 1839's and is carried as 1839's, not as an 1835 fact."
T-0509,pass_14,chambers_john,hh_chambers_john,John Chambers,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,newberry_leads;newspaper_register,newberry_leads,John Chambers is held as a candidate and not asserted: 1 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the newberry genealogical index agreement is a surname-only refusal; the papers hold the name only on the post-office return(s) of 1835-07-01 to 1835-08-19.
T-0509,pass_14,ingersall_david,hh_ingersall_david,David Ingersall,letter_list_only_uncertain,inferred,1834-07-09,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,newberry_leads;newspaper_register,,David Ingersall is held as a candidate and not asserted: 1 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the papers hold the name only on the post-office return(s) of 1834-07-09 to 1834-07-16.
T-0509,pass_14,dole_george_w,hh_dole_george_w,George Washington Dole,established_profile,attested,,corroborated,R2,,chicago_voter_lists_1833_1835_irad;encyclopedia_chicago_biographical_index_d,fergus_1839;fergus_1839_election;fergus_1843;newberry_leads;norris_1844;norris_adv;spend_crosswalk;voter_lists,newberry_leads;norris_adv;spend_crosswalk,"Three separate civic lists print 'Dole, George W.' — the 1833 poll, the 1833 tax list and the 1834 poll — and one bearer of the surname was considered on each. Three contemporary appearances in two record classes, none of them the post office."
T-0509,pass_14,chanpagne_batist,hh_chanpagne_batist,Batist Chanpagne,letter_list_only_present,inferred,1835-07-01,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates Batist Chanpagne from outside the record already held: the papers hold the name only on the post-office return(s) of 1835-07-01.
T-0509,pass_14,frame_david_p,hh_frame_david_p,David P. Frame,letter_list_only_uncertain,inferred,1834-01-28,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates David P. Frame from outside the record already held: the papers hold the name only on the post-office return(s) of 1834-01-28.
T-0509,pass_14,egan_emeline,hh_egan_william_b,Emeline Egan,established_profile,attested,,no_corroboration,R4,,andreas_1884_v1,fergus_1843;norris_1844;norris_adv;old_settler_deaths,fergus_1843;norris_1844;norris_adv;old_settler_deaths,"Nothing reviewed in this pass corroborates Emeline Egan from outside the record already held: the chicago tribune 1882 04 25 old settler deaths, fergus chicago directory 1843, norris directory 1844 agreement is a surname-only refusal."
T-0509,pass_14,chappel_eliza_mir,hh_chappel_eliza_mir,Eliza Mir Chappel,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,chicago_democrat_1833_1835;chm_eliza_chappel;rochester_porter_chappel_marriage,fergus_1843;newberry_leads;newspaper_register;norris_1844,fergus_1843;newberry_leads;norris_1844,"The entry is a near-certain duplicate of Eliza Chappel Porter: Mir likely misreads Miss, and the letter appeared 16 days after her marriage. It is not merged until the original scan is inspected. [Read for pass 02 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
T-0509,pass_14,farren_dean,hh_farren_dean,Dean Farren,letter_list_only_uncertain,inferred,1834-01-28,no_corroboration,R4,,chicago_democrat_1833_1835,newspaper_register,,Nothing reviewed in this pass corroborates Dean Farren from outside the record already held: the papers hold the name only on the post-office return(s) of 1834-01-28.
T-0509,pass_14,egan_william_b,hh_egan_william_b,Dr William Bradshaw Egan,established_profile,attested,,corroborated,R2,,chicago_voter_lists_1833_1835_irad;chicagology_prefire112;fergus_chicago_directory_1839,address_backproj;fergus_1839;fergus_1839_election;fergus_1843;norris_1844;norris_adv;old_settler_deaths;spend_crosswalk;voter_lists,address_backproj;fergus_1843;norris_adv;old_settler_deaths;spend_crosswalk,"The 1833 tax list and the 1834 poll both print the whole name 'Egan, William Bradshaw' — the middle name in full, which is as strong a discriminator as this corpus offers. Fergus 1839 then prints 'Egan, Dr. William B., real estate dealer, bds. City Hotel' and the 1837 election return 'William B. Egan'."
T-0509,pass_14,chase_peter,hh_chase_peter,Peter Chase,letter_list_only_present,inferred,1835-07-01,candidate_identity,R3,,chicago_democrat_1833_1835;newberry_genealogical_index,newberry_leads;newspaper_register;old_settler_deaths,old_settler_deaths,Peter Chase is held as a candidate and not asserted: 1 Newberry genealogical-index card(s) stand under this surname on an exact-surname rule with nothing to separate the bearers; the chicago tribune 1882 04 25 old settler deaths agreement is a surname-only refusal; the papers hold the name only on the post-office return(s) of 1835-07-01.
T-0509,pass_14,griswold_eben,hh_griswold_eben,Eben Griswold,letter_list_only_uncertain,inferred,1834-01-28,candidate_identity,R3,,berrien_eben_griswold;chicago_democrat_1833_1835,fergus_1843;newberry_leads;newspaper_register;norris_1844,fergus_1843;newberry_leads;norris_1844,"A Berrien County history names an Eben Griswold as a constable, but multiple exact-name candidates and no dated Chicago bridge prevent identification. [Read for pass 02 on 2026-09-01, which never completed a findings ledger; re-checked against the crosswalks and carried into T-0509 unchanged.]"
