Construction Year,Building / Identifying Name,Address,Torn Down / Destroyed,Status / Outcome,Construction Date Text,Architect,Source Class,Source As Of,Source URL,Notes,Confidence
1780,Jean Baptiste Point du Sable estate — Workshop,North bank of Chicago River near present-day Pioneer Court,,No longer extant; precise loss date not established,c. 1780s,,Early settlement research,,https://www.nps.gov/places/jean-baptiste-point-du-sable-homesite.htm,Du Sable estate inventories describe a multi-building homestead and trading complex; dating is approximate.,Medium
1803,Fort Dearborn — first fort,Chicago River at Lake Michigan,1812,Burned and destroyed after evacuation,1803,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/477.html,,High
1803,Site of Fort Dearborn,at the intersection of Michigan Av & Wacker Dr,1812 / 1857,Historic site; first fort burned 1812 and second fort demolished 1857,1803-37,,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 09/15/1971,High
1804,United States Factory / trading house at Fort Dearborn,Fort Dearborn vicinity,,No longer extant; loss date not established,c. 1804,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/477.html,,Medium
1816,Fort Dearborn — second fort,Chicago River at Lake Michigan,1857,Demolished,1816,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/477.html,,High
1829,Caldwell's Tavern,Wolf Point,,No longer extant; loss date not established,1829,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/603.html,,High
1829,Miller House tavern,Wolf Point,,No longer extant; loss date not established,1829,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/603.html,,High
1830,Mark Beaubien's Sauganash Tavern / Hotel,Lake Street near Market Street,1851,Destroyed by fire,1830–31,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/603.html,,High
1831,Methodist log meetinghouse,Opposite Wolf Point,,No longer extant; loss date not established,1831,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,Earliest probable purpose-built Christian worship building in Chicago.,Medium
1831,Site of the Sauganash Hotel/Wigwam,SE corner of Lake St & Wacker Dr,1851,Historic site; hotel destroyed by fire,"1831,1860",,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 11/06/2002,High
1832,Chicago Harbor Lighthouse — first lighthouse,Fort Dearborn / river mouth,1852,Replaced by second lighthouse,1832,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1832,Chicago River fixed-span bridge — first bridge,Chicago River,,No longer extant; loss date not established,1832,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1833,First Cook County Jail — log blockhouse,Chicago,,No longer extant; loss date not established,1833,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1833,First St. Mary's Catholic Church,Lake Street west of State Street,,Replaced / no longer extant; exact loss date not established,1833,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1833,Green Tree Tavern,Lake and Canal Streets,1902,Collapsed before planned preservation move,1833,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/1110.html,,High
1833,Miltimore's Folly — first public schoolhouse,State and Madison vicinity,,No longer extant; loss date not established,1833,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1833,Noble-Seymour-Crippen House,5624 N Newark Av,,Current City individual-landmark record (2026); no loss year identified in source,1833,"Addn 1863, Unknown",City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 05/11/1988,High
1833,Tremont House I,Lake and Dearborn Streets,1839,Destroyed by fire,1833,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/603.html,,High
1834,First Presbyterian Church building,Chicago,,Replaced / no longer extant,1834,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1835,First Cook County Courthouse,Clark and Randolph Streets,1853,Replaced by courthouse and city hall,1835,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1836,Clarke House Musuem — Chicago Women'S Park And Gardens Park,,,Active in Park District inventory,1836,,Chicago Park District building inventory,2016-11-04,https://data.cityofchicago.org/d/u7uu-j2ma,"Building type: Fieldhouse B2. Location: (41.857067, -87.62188)",Medium
1836,First Baptist Church building,Chicago,,Replaced / no longer extant,1836,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1836,Henry B Clarke House,1855 S Indiana Av,,Current City individual-landmark record (2026); no loss year identified in source,1836,Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 10/14/1970,High
1836,Lake House hotel,Rush and Kinzie Streets,1871,Destroyed in Great Chicago Fire,1836,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/603.html,,High
1836,Saloon Building,Lake and Clark Streets,1871,Destroyed in Great Chicago Fire,1836,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1837,First St. James Episcopal Church building,Chicago,1857,Replaced by 1857 church building,1837,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1838,Illinois-Indiana State Line Boundary Marker,"Avenue G, near 103rd St",,Current City individual-landmark record (2026); no loss year identified in source,1838,Office of the United States Surveyor-General,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 09/04/2002,High
1838,Site of the Origin of Illinois & Michigan Canal,S Fork of Chicago River at W Levee & W Fuller Sts,,Historic site designation; original building is not extant or source does not establish survival,1838-48,,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 05/09/1996,High
1839,Joseph Blanchard Public Market — first public market,Chicago,,No longer extant; loss date not established,1839,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1839,Tremont House II,Lake and Dearborn Streets,1849,Destroyed by fire,1839,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/603.html,,High
1843,St. Mary's Catholic Church,Wabash Avenue and Madison Street,1871,Destroyed in Great Chicago Fire,1843,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1844,Allan Robbins four-story brick store,South Water Street,1871,Destroyed in Great Chicago Fire,1844,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1844,Denker & Borges triangular brick building,Lake and South Water Streets,1871,Destroyed in Great Chicago Fire,1844,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1844,George Smith pressed-brick store and dwelling block,State Street,1871,Destroyed in Great Chicago Fire,1844,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1844,Peck–Robbins–High–Magie fireproof store block,South Water Street,1871,Destroyed in Great Chicago Fire,1844,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1845,Clark Street Methodist Episcopal Church — brick building,Clark Street,1871,Destroyed in Great Chicago Fire,1845,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1845,Dearborn School,Madison Street near Dearborn Street,1871,Destroyed in Great Chicago Fire,1845,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1846,St. Mary of the Lake University building,Chicago,,No longer extant; loss date not established,1846,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1847,Rice's Theatre I,Dearborn Street,1850,Replaced by brick theater,1847,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1848,Galena and Chicago Union Railroad — first Chicago depot,Kinzie and Canal Streets,,No longer extant; loss date not established,1848,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1848,Stiles Burton's City Hotel,State and Lake Streets,1871,Destroyed in Great Chicago Fire,1848,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/603.html,,High
1850,Chicago Gas Works — first gas-manufacturing plant,Chicago River vicinity,1871,Destroyed / severely damaged in Great Chicago Fire,1850,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,Medium
1850,Rice's Theatre II — brick building,Dearborn Street,1871,Destroyed in Great Chicago Fire,1850,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1850,Tremont House III,Lake and Dearborn Streets,1871,Destroyed in Great Chicago Fire,1850,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/603.html,,High
1850,Tremont Music Hall,Chicago,1871,Destroyed in Great Chicago Fire,1850,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/pages/603.html,,High
1851,Kehilath Anshe Ma’ariv synagogue — first synagogue building,Chicago,,No longer extant; loss date not established,1851,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1852,Chicago Harbor Lighthouse — second lighthouse,River mouth,1871,Destroyed in Great Chicago Fire,1852,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1853,Cook County Courthouse and Chicago City Hall,"Public Square, Clark and Randolph Streets",1871,Destroyed in Great Chicago Fire,1853,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1854,Chicago Water Works pumping station,Chicago Avenue and Pine Street,1871,Destroyed in Great Chicago Fire,1854,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1854,John Wingert House,6231 N Canfield Av,,Current City individual-landmark record (2026); no loss year identified in source,1854,Add. c. 1868-75 Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 07/31/1990,High
1856,Chicago High School — first public high-school building,Monroe Street near Halsted Street,,No longer extant; loss date not established,1856,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1856,Jane Addams' Hull House and Dining Hall,800 S Halsted St,,Current City individual-landmark record (2026); no loss year identified in source,1856,"Unknown; Pond & Pond, 1905 Dining Hall",City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 06/12/1974,High
1856,John and Phebe Gray House,4362 W. Grace St.,,Current City individual-landmark record (2026); no loss year identified in source,1856,Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 03/20/2024,High
1857,Adams House hotel,Michigan Avenue,1871,Destroyed in Great Chicago Fire,1857,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1857,Charles D. Iglehart House,11118 S Artesian Av,,Current City individual-landmark record (2026); no loss year identified in source,1857,Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 07/13/1994,High
1857,First Presbyterian Church — marble building,Wabash Avenue,1871,Destroyed in Great Chicago Fire,1857,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1857,John Link iron-front block,Lake and LaSalle Streets,1871,Destroyed in Great Chicago Fire,1857,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1857,Larmon Block,Washington and Madison Streets,1871,Destroyed in Great Chicago Fire,1857,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1857,Light Guard Hall / Garrett Block,State and Randolph Streets,1871,Destroyed in Great Chicago Fire,1857,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1857,McVicker's Theatre I,Madison Street,1871,Destroyed in Great Chicago Fire,1857,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1857,Portland Block,Washington and Dearborn Streets,1871,Destroyed in Great Chicago Fire,1857,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1857,St. James Episcopal Church — 1857 building,Cass Street,1871,Destroyed in Great Chicago Fire,1857,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1857,Wabash Avenue Methodist Church,Wabash Avenue and Harrison Street,1871,Destroyed in Great Chicago Fire,1857,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1860,The Wigwam — Republican National Convention hall,Lake Street and Market Street,1867,Demolished,1860,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1864,Rosehill Cemetery Entrance,5800 N Ravenswood Av,,Current City individual-landmark record (2026); no loss year identified in source,1864,William W. Boyington,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 10/16/1980,High
1864,Soldiers' Home,739 E 35th St,,Current City individual-landmark record (2026); no loss year identified in source,1864-1923,"William W. Boyington, 1866 section",City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 04/16/1996,High
1865,Colonel Wood's Museum,Randolph Street,1871,Destroyed in Great Chicago Fire,1865,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1865,Crosby's Opera House,Washington Street near State Street,1871,Destroyed in Great Chicago Fire,1865,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1865,Union Stock Yard — original exchange and livestock complex,Exchange Avenue and Halsted Street,1971,Stockyards closed; most of complex demolished,1865,,Early settlement research,,https://www.encyclopedia.chicagohistory.org/,,High
1869,Abraham Groesbeck House,1304 W Washington Blvd,,Current City individual-landmark record (2026); no loss year identified in source,1869,Otis L. Wheelock,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 01/12/1993,High
1869,Chicago Avenue Pumping Station,821 N Michigan Ave,,Standing,1869,,Early settlement research,,https://data.cityofchicago.org/d/uct4-hrvh,,High
1869,Chicago Water Tower,806 N Michigan Ave,,Standing,1869,,Early settlement research,,https://data.cityofchicago.org/d/uct4-hrvh,,High
1869,First Baptist Congregational Church,60 N Ashland Av,,Current City individual-landmark record (2026); no loss year identified in source,1869-71,Gurdon P. Randall,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 01/21/1982,High
1869,Seth Warner House,631 N Central Ave,,Current City individual-landmark record (2026); no loss year identified in source,1869,Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 02/23/2022,High
1869,St Ignatius College Prep Building,1076 W Roosevelt Rd,,Current City individual-landmark record (2026); no loss year identified in source,1869,Toussaint Menard west add:1874;John P. Huber,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 03/18/1987,High
1870,Erie Street Row,161 E. Erie St,,Current City individual-landmark record (2026); no loss year identified in source,1870-1920,Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 10/16/2025,High
1870,John Raber House,5760 S LaFayette Av,,Current City individual-landmark record (2026); no loss year identified in source,1870,"Major Alterations, 1894;Thomas Wing",City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 04/16/1996,High
1870,Wheeler-Kohn House,2016-20 S Calumet Av,,Current City individual-landmark record (2026); no loss year identified in source,1870,Otis L. Wheelock,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 02/05/1998,High
1871,Charles Hitchcock House,5704 W Ohio St,,Current City individual-landmark record (2026); no loss year identified in source,1871,Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 07/07/1992,High
1871,Palmer House I,State and Quincy Streets,1871,Destroyed in Great Chicago Fire shortly after opening,1871,,Curated lost Chicago,,https://www.encyclopedia.chicagohistory.org/pages/603.html,,High
1871,Site of the Origin of the Chicago Fire of 1871,Dekoven (1050s) & Jefferson (600w) St,,Historic site designation; original building is not extant or source does not establish survival,1871,"Sculpture, ""Pillar of Fire"" by Egon Weiner, 1961",City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 09/15/1971,High
1872,101 Grand,101 W. Grand Ave.,,Present in City energy-benchmarking inventory (latest record 2023); demolition/loss not independently established,1872,,Chicago Energy Benchmarking,2023,https://data.cityofchicago.org/d/xq83-jr8c,Reporting status: Submitted; Property type: Office; Year Built is owner-reported and may reflect a complete renovation for some properties.,Medium
1872,Delaware Building,36 W Randolph St,,Current City individual-landmark record (2026); no loss year identified in source,1872-74,"Wheelock & Thomas,2 story add + atrium 1889 Huber",City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 11/23/1983,High
1872,Field Elementary -CPS,7019 N Ashland Ave,,Present in City energy-benchmarking inventory (latest record 2021); demolition/loss not independently established,1872,,Chicago Energy Benchmarking,2021,https://data.cityofchicago.org/d/xq83-jr8c,Reporting status: Exempt; Property type: K-12 School; Year Built is owner-reported and may reflect a complete renovation for some properties.,Medium
1872,Holden Block,1027 W. Madison St.,,Current City individual-landmark record (2026); no loss year identified in source,1872,Stephen Vaughn Shipman,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 05/04/2011,High
1872,John and Clara Merchant House,3854 N Kostner Av,,Current City individual-landmark record (2026); no loss year identified in source,1872,"[Geo. E] Woodward's Nat'l Architect, Design #2",City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 10/08/2008,High
1872,Lake-Franklin Group,227-35 W Lake St & 173-91 N Franklin St,,Current City individual-landmark record (2026); no loss year identified in source,1872-75,"Burling & Adler, Geo. Edbrooke. 1896 Addn:Adler",City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 02/26/1977,High
1872,Page Brothers Building,177-191 N State St,,Current City individual-landmark record (2026); no loss year identified in source,"1872, 1902","John M. Van Osdel; Hill & Waltersdorf, 1902 facade",City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 01/28/1983,High
1872,State Lake LLC,177 North State,,Present in City energy-benchmarking inventory (latest record 2023); demolition/loss not independently established,1872,,Chicago Energy Benchmarking,2023,https://data.cityofchicago.org/d/xq83-jr8c,Reporting status: Submitted; Property type: Office; Year Built is owner-reported and may reflect a complete renovation for some properties.,Medium
1873,Charles M. Netterstrom House,833 W. Aldine Avenue,,Current City individual-landmark record (2026); no loss year identified in source,1873-94,Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 03/28/2018,High
1873,Congress Plaza Hotel,520 S. Michigan Ave.,,Present in City energy-benchmarking inventory (latest record 2023); demolition/loss not independently established,1873,,Chicago Energy Benchmarking,2023,https://data.cityofchicago.org/d/xq83-jr8c,Reporting status: Submitted; Property type: Hotel; Year Built is owner-reported and may reflect a complete renovation for some properties.,Medium
1873,Inter-State Industrial Exposition Building,Lakefront at Adams Street,1892,Demolished for World’s Columbian Exposition grounds,1873,,Curated lost Chicago,,https://www.encyclopedia.chicagohistory.org/,,High
1873,Palmer House II,State and Monroe Streets,1923,Demolished for current Palmer House,1873,,Curated lost Chicago,,https://www.encyclopedia.chicagohistory.org/,,High
1873,Washington Block,40 N Wells St,,Current City individual-landmark record (2026); no loss year identified in source,1873-74,Frederick & Edward Baumann,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 01/14/1997,High
1874,(Former) Engine Company 27,1244 N Wells St,,Current City individual-landmark record (2026); no loss year identified in source,1874,1874; 1907 (add.) Board of Public Works,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 10/01/2003,High
1874,Jackson-Thomas House,7053 N Ridge Blvd,,Current City individual-landmark record (2026); no loss year identified in source,1874,Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 10/16/1984,High
1874,James Ward Public School,2703 S Shields Av,,Current City individual-landmark record (2026); no loss year identified in source,1874-75,Johnson & Edelmann Add:1897;N. S. Patton,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 09/14/2005,High
1874,Second Presbyterian Church,1928-1936 S Michigan Av,,Current City individual-landmark record (2026); no loss year identified in source,1874;1900,"James Renwick; Howard Van Doren Shaw, 1900",City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 09/28/1977,High
1874,Stephen Race House,3945 N Tripp Av,,Current City individual-landmark record (2026); no loss year identified in source,1874,Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 09/22/1988,High
1874,Ward J,2701 S Shields Ave,,Present in City energy-benchmarking inventory (latest record 2023); demolition/loss not independently established,1874,,Chicago Energy Benchmarking,2023,https://data.cityofchicago.org/d/xq83-jr8c,Reporting status: Submitted; Property type: K-12 School; Year Built is owner-reported and may reflect a complete renovation for some properties.,Medium
1875,Harpo Studios,110 N Carpenter,,Present in City energy-benchmarking inventory (latest record 2015); demolition/loss not independently established,1875,,Chicago Energy Benchmarking,2015,https://data.cityofchicago.org/d/xq83-jr8c,Reporting status: Submitted; Property type: Other - Entertainment/Public Assembly; Year Built is owner-reported and may reflect a complete renovation for some properties.,Medium
1875,Haskell-Barker-Atwater Buildings,18-28 S Wabash Av,,Current City individual-landmark record (2026); no loss year identified in source,1875-77,Wheelock & Thomas and John M. Van Osdel,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 11/13/1996,High
1875,McCormick Double House,660 N Rush St,,Current City individual-landmark record (2026); no loss year identified in source,1875,Frederick & Edward Baumann,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 10/06/2005,High
1875,Union Stock Yard Gate,Exchange Av (4150S) at Peoria St (900W),,Current City individual-landmark record (2026); no loss year identified in source,1875,Burnham and Root,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 02/24/1972,High
1876,DuPont-Whitehouse House,3558 S Artesian Av,,Current City individual-landmark record (2026); no loss year identified in source,1876,Oscar Cobb & Co.,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 04/16/1996,High
1879,71215A State St,101 N State St E,,Present in City energy-benchmarking inventory (latest record 2022); demolition/loss not independently established,1879,,Chicago Energy Benchmarking,2022,https://data.cityofchicago.org/d/xq83-jr8c,Reporting status: Submitted Data; Property type: Retail Store; Year Built is owner-reported and may reflect a complete renovation for some properties.,Medium
1879,First Leiter Building,Wells and Monroe Streets,1972,Demolished,1879,,Curated lost Chicago,,https://www.encyclopedia.chicagohistory.org/,,High
1880,20 North Michigan Avenue,20 N. Michigan Ave,,Present in City energy-benchmarking inventory (latest record 2023); demolition/loss not independently established,1880,,Chicago Energy Benchmarking,2023,https://data.cityofchicago.org/d/xq83-jr8c,Reporting status: Submitted; Property type: Office; Year Built is owner-reported and may reflect a complete renovation for some properties.,Medium
1880,2678 West Washington Boulevard,2678 West Washington Boulevard,,Current City individual-landmark record (2026); no loss year identified in source,"1880,1923",Holabird and Roche,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 12/13/2023,High
1880,WAX TRAX!,2449 North Lincoln Avenue,,Current City individual-landmark record (2026); no loss year identified in source,"1880.,1900",Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 05/21/2025,High
1881,Avondale-Logandale,3212 W George St,,Present in City energy-benchmarking inventory (latest record 2023); demolition/loss not independently established,1881,,Chicago Energy Benchmarking,2023,https://data.cityofchicago.org/d/xq83-jr8c,Reporting status: Submitted; Property type: K-12 School; Year Built is owner-reported and may reflect a complete renovation for some properties.,Medium
1881,Chicago & North Western Wells Street Station,Wells and Kinzie Streets,1911,Demolished after new terminal opened,1881,,Curated lost Chicago,,https://www.encyclopedia.chicagohistory.org/,,High
1881,Hazelton-Mikota House,5453 N Forest Glen Av,,Current City individual-landmark record (2026); no loss year identified in source,1881,Unknown,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 07/27/2005,High
1881,Jewelers Building,15-17 S Wabash Av,,Current City individual-landmark record (2026); no loss year identified in source,1881-82,Dankmar Adler with Louis H. Sullivan,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 12/08/1981,High
1881,Miñoso,3527 S Wallace St,,Present in City energy-benchmarking inventory (latest record 2023); demolition/loss not independently established,1881,,Chicago Energy Benchmarking,2023,https://data.cityofchicago.org/d/xq83-jr8c,Reporting status: Submitted; Property type: K-12 School; Year Built is owner-reported and may reflect a complete renovation for some properties.,Medium
1881,Pullman Arcade Building,Pullman,1926,Demolished,1881,,Curated lost Chicago,,https://www.encyclopedia.chicagohistory.org/,,High
1881,Sheridan,533 W 27th St,,Present in City energy-benchmarking inventory (latest record 2023); demolition/loss not independently established,1881,,Chicago Energy Benchmarking,2023,https://data.cityofchicago.org/d/xq83-jr8c,Reporting status: Submitted; Property type: K-12 School; Year Built is owner-reported and may reflect a complete renovation for some properties.,Medium
1881,Stephen A. Douglas Memorial,35th St and Cottage Grove Av,,Current City individual-landmark record (2026); no loss year identified in source,1881,Leonard W. Volk,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 09/28/1977,High
1882,Hotel St. Benedict Flats,40-52 E Chicago Av,,Current City individual-landmark record (2026); no loss year identified in source,1882-83,James J. Egan,City individual landmark,2026-04-17,https://data.cityofchicago.org/d/uct4-hrvh,Designation date: 03/26/1996,High
