estimate_id,year_start,year_end,estimate_date_precision,geography,metric,value,value_min,value_max,unit,source_key,source_locator,interpretation,confidence,needs_review
EST-1872-WD-FRONT,1871,1872,first post-fire year,West Division,frontage of prominent buildings erected,891,,,feet,ANDREAS_V3_REBUILD,printed p. 60,"Prominent-building frontage only, not all construction.",high,false
EST-1872-WD-COST,1871,1872,first post-fire year,West Division,estimated cost of all kinds of buildings erected,998500,,,USD nominal,ANDREAS_V3_REBUILD,printed p. 60,Historical nominal dollars; no inflation adjustment.,high,false
EST-1872-BURNED-COST,1871,1872,first post-fire year,whole burned district,estimated building construction cost,45558200,,,USD nominal,ANDREAS_V3_REBUILD,printed p. 60,"Historical nominal dollars; equals reported South, North, and West division cost totals.",high,false
EST-1877-BUILDINGS,1877,1877,calendar year,citywide,buildings represented by permits,1398,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Annual building flow reported in a table of buildings for which permits had been issued; not standing stock.,high,false
EST-1877-FRONTAGE,1877,1877,calendar year,citywide,street frontage represented by permitted buildings,35033,,,feet,ANDREAS_V3_REBUILD,printed p. 67,Annual permitted-building frontage.,high,false
EST-1877-COST,1877,1877,calendar year,citywide,total cost of permitted buildings,6561800,,,USD nominal,ANDREAS_V3_REBUILD,printed p. 67,"Historical nominal dollars reported in the permit-based table; likely permit valuation rather than audited final outturn, but the source does not define the cost basis.",high,false
EST-1877-1STORY,1877,1877,calendar year,citywide,permitted one-story buildings,221,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1877-2STORY,1877,1877,calendar year,citywide,permitted two-story buildings,828,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1877-3STORY,1877,1877,calendar year,citywide,permitted three-story buildings,275,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1877-4STORY,1877,1877,calendar year,citywide,permitted four-story buildings,62,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1877-5STORY,1877,1877,calendar year,citywide,permitted five-story buildings,11,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1877-6STORY,1877,1877,calendar year,citywide,permitted six-story buildings,1,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1877-BRICK,1877,1877,calendar year,citywide,permitted buildings with brick fronts,937,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Front-material classification.,high,false
EST-1877-STONE,1877,1877,calendar year,citywide,permitted buildings with stone fronts,461,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Front-material classification.,high,false
EST-1877-STORES-OFFICES,1877,1877,calendar year,citywide,permitted stores and offices,100,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1877-STORES-DWELLINGS,1877,1877,calendar year,citywide,permitted combined stores and dwellings,229,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1877-DWELLINGS,1877,1877,calendar year,citywide,permitted dwellings,737,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1877-CHURCHES,1877,1877,calendar year,citywide,permitted churches,6,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1877-MANUFACTURING,1877,1877,calendar year,citywide,permitted manufacturing buildings,48,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1878-BUILDINGS,1878,1878,calendar year,citywide,buildings represented by permits,1019,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Annual building flow reported in a table of buildings for which permits had been issued; not standing stock.,high,false
EST-1878-FRONTAGE,1878,1878,calendar year,citywide,street frontage represented by permitted buildings,31118,,,feet,ANDREAS_V3_REBUILD,printed p. 67,Annual permitted-building frontage.,high,false
EST-1878-COST,1878,1878,calendar year,citywide,total cost of permitted buildings,6561100,,,USD nominal,ANDREAS_V3_REBUILD,printed p. 67,"Historical nominal dollars reported in the permit-based table; likely permit valuation rather than audited final outturn, but the source does not define the cost basis.",high,false
EST-1878-1STORY,1878,1878,calendar year,citywide,permitted one-story buildings,171,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1878-2STORY,1878,1878,calendar year,citywide,permitted two-story buildings,550,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1878-3STORY,1878,1878,calendar year,citywide,permitted three-story buildings,247,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1878-4STORY,1878,1878,calendar year,citywide,permitted four-story buildings,30,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1878-5STORY,1878,1878,calendar year,citywide,permitted five-story buildings,19,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1878-6STORY,1878,1878,calendar year,citywide,permitted six-story buildings,2,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Height classification; categories sum to the annual total.,high,false
EST-1878-BRICK,1878,1878,calendar year,citywide,permitted buildings with brick fronts,647,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Front-material classification.,high,false
EST-1878-STONE,1878,1878,calendar year,citywide,permitted buildings with stone fronts,372,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Front-material classification.,high,false
EST-1878-STORES-OFFICES,1878,1878,calendar year,citywide,permitted stores and offices,70,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1878-STORES-DWELLINGS,1878,1878,calendar year,citywide,permitted combined stores and dwellings,167,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1878-DWELLINGS,1878,1878,calendar year,citywide,permitted dwellings,574,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1878-CHURCHES,1878,1878,calendar year,citywide,permitted churches,5,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1878-MANUFACTURING,1878,1878,calendar year,citywide,permitted manufacturing buildings,30,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1879-BUILDINGS,1879,1879,calendar year,citywide,buildings represented by permits,1093,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Annual building flow reported in a table of buildings for which permits had been issued; not standing stock.,high,false
EST-1879-FRONTAGE,1879,1879,calendar year,citywide,street frontage represented by permitted buildings,33361,,,feet,ANDREAS_V3_REBUILD,printed p. 67,Annual permitted-building frontage.,high,false
EST-1879-COST,1879,1879,calendar year,citywide,total cost of permitted buildings,6139580,,,USD nominal,ANDREAS_V3_REBUILD,printed p. 67,"Historical nominal dollars reported in the permit-based table; likely permit valuation rather than audited final outturn, but the source does not define the cost basis.",high,false
EST-1879-1STORY,1879,1879,calendar year,citywide,permitted one-story buildings,307,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,"Height classification; the printed value is clearly 307. The printed 1879 height classes total 1,010, which is 83 below the reported annual total of 1,093; the gap is not imputed to this category.",high,true
EST-1879-2STORY,1879,1879,calendar year,citywide,permitted two-story buildings,455,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,"Height classification; printed height classes total 1,010, which is 83 below the reported annual total; the gap is not imputed.",high,true
EST-1879-3STORY,1879,1879,calendar year,citywide,permitted three-story buildings,229,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,"Height classification; printed height classes total 1,010, which is 83 below the reported annual total; the gap is not imputed.",high,true
EST-1879-4STORY,1879,1879,calendar year,citywide,permitted four-story buildings,16,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,"Height classification; printed height classes total 1,010, which is 83 below the reported annual total; the gap is not imputed.",high,true
EST-1879-5STORY,1879,1879,calendar year,citywide,permitted five-story buildings,3,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,"Height classification; printed height classes total 1,010, which is 83 below the reported annual total; the gap is not imputed.",high,true
EST-1879-BRICK,1879,1879,calendar year,citywide,permitted buildings with brick fronts,878,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Front-material classification.,high,false
EST-1879-STONE,1879,1879,calendar year,citywide,permitted buildings with stone fronts,215,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Front-material classification.,high,false
EST-1879-STORES-OFFICES,1879,1879,calendar year,citywide,permitted stores and offices,85,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1879-STORES-DWELLINGS,1879,1879,calendar year,citywide,permitted combined stores and dwellings,173,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1879-DWELLINGS,1879,1879,calendar year,citywide,permitted dwellings,650,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
EST-1879-MANUFACTURING,1879,1879,calendar year,citywide,permitted manufacturing buildings,50,,,buildings,ANDREAS_V3_REBUILD,printed p. 67,Partial use classification; categories are not a complete partition of the annual total.,high,false
