building_id,research_record_id,research_year,canonical_name,year_started,year_completed,completion_precision,year_opened,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,height_ft,construction_or_event_type,predecessor_or_rebuild_of,postfire_code_context,notes,confidence,needs_review
CHI-POSTFIRE-CHI1872-089,CHI1872-089,1872,Central European Hotel II,1872,1872,approximate,1872,,,,demolished,East Water Street,,,,hotel,hotel,,Caesar Pirrung,brick masonry,,,reconstruction,Central European Hotel destroyed in 1871 fire; temporary frame shanty,Brick replacement following an immediate temporary frame shanty; fire-limit status requires historic parcel review.,Andreas OCR says the temporary shanty was replaced 'next year' by the present brick structure; interpreted as 1872 but flagged for scan verification.,medium,true
CHI-POSTFIRE-CHI1872-007,CHI1872-007,1872,Chamber of Commerce II,1871,1872,exact,1872,1890,year-only,redevelopment,demolished,southeast corner Washington and LaSalle Streets,,,,exchange building,commodity exchange and offices,Cochrane & Miller,Chamber of Commerce Building Association,stone masonry,3,,reconstruction,Chamber of Commerce I destroyed in 1871 fire,Prominent masonry reconstruction inside the fire limits.,"Completed before and formally occupied on the fire's first anniversary, October 9 1872; Andreas reports cost about $365,000.",high,false
CHI-POSTFIRE-CHI1872-084,CHI1872-084,1872,Chicago Avenue Bridge Reconstruction,1871,1872,range,1872,,,,replaced,Chicago Avenue crossing North Branch,,,,movable bridge,transportation infrastructure,,City of Chicago,,,,reconstruction,Chicago Avenue bridge rendered impassable in 1871 fire,Municipal infrastructure funded partly through Illinois canal-refund appropriation.,One of eight named bridges repaired immediately and completed within one year of the fire.,high,false
CHI-POSTFIRE-CHI1872-059,CHI1872-059,1872,Chicago Society of the New Jerusalem West Division Church,1872,1872,year-only,1872,,,,demolished,Washington Boulevard and Ogden Avenue,,,,church,Swedenborgian worship,,Chicago Society of the New Jerusalem,masonry,,,new_construction,,Outside the core burned business district; no direct fire-code claim.,Andreas calls it a commodious house of worship built in 1872; the society later sold the Ogden frontage in 1885.,high,true
CHI-POSTFIRE-CHI1872-008,CHI1872-008,1872,Chicago Tribune Building II,1871,1872,exact,1872,1901,year-only,redevelopment,demolished,southeast corner Dearborn and Madison Streets,,,,newspaper office,newspaper offices and printing,Burling & Adler,Chicago Tribune,masonry; iron roof; largely noncombustible floors,5,,reconstruction,Tribune Building I destroyed in 1871 fire,"Explicitly designed as a more genuinely fire-resistant replacement, with iron roof and tile, asphalt or artificial-marble floors.",Occupied October 8-9 1872 while final work continued about another month; 72 by 121 feet. Chicagology page rebuilding030 transcribes the contemporary Tribune account.,medium,true
CHI-POSTFIRE-CHI1872-027,CHI1872-027,1872,Chicago Type Foundry II,1872,1872,exact,1872,1894,year-only,redevelopment,demolished,139-141 Monroe Street between Clark and LaSalle Streets,,,,factory,type foundry and printing offices,,"Marder, Luse & Co.",brick with stone basement; white Wisconsin-brick front,5,,reconstruction,Chicago Type Foundry destroyed in 1871 fire,Substantial masonry factory reconstruction in the fire district.,Construction began about March 1 and moving began May 6 1872; 45 by 80 feet. Chicagology rebuilding057/rebuilding108 transcribes the company account.,medium,false
CHI-POSTFIRE-CHI1872-074,CHI1872-074,1872,Chicago Water Works Reconstruction,1871,1872,range,1872,,,,extant-altered,Chicago Avenue pumping works,,,,waterworks,municipal water pumping,Chief Engineer DeWitt Cregier,City of Chicago,masonry shell repaired; iron roof substituted,,,reconstruction,Chicago Water Works fire-damaged October 1871,"Iron roof replaced the combustible covering; Andreas reports total repair-related cost about $248,410 including system losses.","Machine shop reconstructed, engines returned to service, hydrants/meters repaired and iron roof installed during first post-fire year; treated as a complex phase.",high,false
CHI-POSTFIRE-CHI1872-082,CHI1872-082,1872,Clark Street Bridge Reconstruction,1871,1872,range,1872,,,,replaced,Clark Street crossing Chicago River,,,,movable bridge,transportation infrastructure,,City of Chicago,,,,reconstruction,Clark Street bridge rendered impassable in 1871 fire,Municipal infrastructure funded partly through Illinois canal-refund appropriation.,One of eight named bridges repaired immediately and completed within one year of the fire.,high,false
CHI-POSTFIRE-CHI1872-078,CHI1872-078,1872,Clark Street Viaduct Reconstruction,1871,1872,range,1872,,,,replaced,Clark Street,,,,viaduct,transportation infrastructure,,City of Chicago,,,,reconstruction,Clark Street viaduct rendered impassable in 1871 fire,Municipal infrastructure funded partly through Illinois canal-refund appropriation.,One of three named viaducts repaired immediately and completed within one year of the fire.,high,false
CHI-POSTFIRE-CHI1872-041,CHI1872-041,1872,Commercial Hotel,1872,1872,year-only,1872,,,,demolished,northwest corner Dearborn and Lake Streets,,,,hotel,commercial building converted to hotel,,Couch estate; William H. Ward trustee; High & Magie adjoining interests,stone front; five-story corner and four-story additions,5,,new_construction,,Permanent masonry construction within the burned district.,"Built for American Express, which declined occupancy; Howell Pulling and Hiram F. Ingraham opened the combined structure as Commercial Hotel in 1872; about 270 rooms by 1886.",high,false
CHI-POSTFIRE-CHI1872-066,CHI1872-066,1872,Convent of Saints Benedict and Scholastica Home,1871,1872,year-only,1872,,,,demolished,corner North Market and Hill Streets,,,,convent home,religious residence and school support,,Benedictine Sisters,frame,,,reconstruction,St. Joseph parish church and school destroyed in 1871 fire,Frame institutional rebuilding undertaken immediately after the fire; location and permission context need ordinance research.,Finished in 1872 and later enlarged with a brick rear addition in 1879; institution incorporated July 1 1872.,high,true
CHI-POSTFIRE-CHI1872-065,CHI1872-065,1872,Convent of the Immaculate Conception II,1872,1872,year-only,1872,,,,demolished,Franklin and Wieland Streets,,,,convent and school,Dominican convent and school,,Dominican Sisters of Sinsinawa,two-and-a-half-story building,2,,reconstruction,convent and school destroyed in 1871 fire,Institutional replacement in the North Side fire area; material not established.,Dominican Sisters returned in 1872 and erected the building after Bishop Foley promised assistance; later adjoining parochial school excluded.,high,true
CHI-POSTFIRE-CHI1872-076,CHI1872-076,1872,Cregier Pumping Engine at Chicago Water Works,1872,1872,exact,1872,,,,removed,Chicago Avenue pumping works,,,,pumping engine,municipal water supply,DeWitt Cregier; Knapp Fort Pitt Foundry Works,City of Chicago,70-inch steam cylinders; three boilers,,,infrastructure_installation,Chicago Water Works mechanical plant,Post-fire capacity and resilience upgrade; building-code context not applicable.,"Completed and started November 27 1872 through a 36-inch main; engine and boilers cost $188,400.",high,false
CHI-POSTFIRE-CHI1872-028,CHI1872-028,1872,Fidelity Savings Bank and Safe Depository II,1872,1872,approximate,1872,1924,year-only,redevelopment,demolished,143-147 Randolph Street,,,,bank,savings bank and safe depository,,,,,,reconstruction,Fidelity facilities destroyed in 1871 fire,Banking reconstruction in the fire district; specific fireproof systems need verification.,Chicagology rebuilding109 identifies the 1872 building and contemporary banking occupancy; precise completion evidence should be checked in the original newspaper.,medium,true
CHI-POSTFIRE-CHI1872-055,CHI1872-055,1872,First Methodist Episcopal Church Block,1871,1872,approximate,1872,,,,demolished,corner Clark and Washington Streets,,,,mixed-use church block,"worship, stores, offices and meeting hall",,First Methodist Episcopal Church,stone-front masonry,4,,reconstruction,First Methodist block destroyed in 1871 fire,More substantial post-fire replacement in the burned district; rental uses funded church operations.,"Congregation left its temporary Clark-and-Harrison frame building in fall 1872 for the rebuilt block; cost about $130,000. Chicagology rebuilding072 and Chicago History Museum corroborate context.",high,false
CHI-POSTFIRE-CHI1872-009,CHI1872-009,1872,First National Bank Building III,1871,1872,year-only,1872,1883,year-only,redevelopment,demolished,southwest corner State and Washington Streets,,,,bank,bank and safe deposit,Edward Burling; Hollingsworth & Coughlin,First National Bank of Chicago,"iron, stone and brick; surviving vaults",4,,reconstruction,First National Bank Building II fire-damaged in 1871,Reused surviving walls and vaults; contemporary descriptions called it fireproof but Andreas cautions that such claims were unsettled.,"Restored in 1872 for about $75,000 of a reported $295,000 total building value; the pre-fire fifth floor was not restored. Chicagology rebuilding177 transcribes contemporary sources.",medium,true
CHI-POSTFIRE-CHI1872-042,CHI1872-042,1872,Gardner House,1871,1872,exact,1872,,,,demolished,Michigan Avenue at Jackson Street,,,,hotel,hotel,,Horatio H. Gardner,brick masonry,6,,new_construction,,"Andreas calls it essentially fireproof in its later form, but later alterations and fire escapes should not be retrojected to 1872.","Finished and opened October 1 1872, the first American-plan hotel opened in the burned district; cost including ground reported about $600,000.",high,false
CHI-POSTFIRE-CHI1872-016,CHI1872-016,1872,Garrett Building II,1872,1872,approximate,1872,1898,year-only,redevelopment,demolished,southeast corner Lake and Market Streets,,,,commercial block,rental property supporting Garrett Biblical Institute,,Garrett Biblical Institute,"brick, iron and plate glass",4,,reconstruction,Garrett Building destroyed in 1871 fire,Masonry rebuilding in the fire district.,"Contemporary notices describe a roughly 130-by-180-foot four-story building, cost about $100,000, with portions ready for tenants in August. Chicagology rebuilding175.",medium,true
CHI-POSTFIRE-CHI1872-073,CHI1872-073,1872,Gottfried Brewery Ice House No. 1,1872,1872,year-only,1872,,,,demolished,corner Archer and Stewart Avenues,,,,ice house,brewery ice storage,,Mathieu Gottfried,,,,addition,Gottfried brewery complex,Industrial addition outside principal burned core.,Built in 1872; a second ice house belongs to 1879 and later brewery reconstruction to 1884-85.,high,true
CHI-POSTFIRE-CHI1872-030,CHI1872-030,1872,Grocers' Block,1872,1872,approximate,1872,1899,year-only,redevelopment,demolished,southwest corner Wabash Avenue and Lake Street,,,,commercial block,wholesale grocery trade,T. V. Wadskier,,masonry,,,reconstruction,,Permanent mercantile rebuilding in the fire district.,Chicagology rebuilding112 gives a 1872 life span start and contemporary directory evidence; exact completion date needs original source review.,medium,true
CHI-POSTFIRE-CHI1872-032,CHI1872-032,1872,Hall's Safe and Lock Company Building,1872,1872,year-only,1872,1901,year-only,redevelopment,demolished,147-149 Dearborn Street between Madison and Monroe Streets,,,,commercial building,safe and lock showroom,Dixon & Hamilton,Hall's Safe and Lock Company,brick masonry,4,,reconstruction,Hall company building destroyed in 1871 fire,Rebuilt on the old site in masonry; the safe-company use made post-fire fire resistance central to its marketing.,Contemporary June 1872 account says the firm was back on its old site eight months after the fire. Chicagology rebuilding114.,medium,false
CHI-POSTFIRE-CHI1872-002,CHI1872-002,1872,Holden Block,1872,1872,year-only,1872,,,,extant,1027 West Madison Street,1027 W Madison St,41.881418,-87.653264,commercial block,commercial lofts and stores,Stephen V. Shipman,Charles C. P. Holden,masonry; Buena Vista sandstone facade,4,,new_construction,,Post-fire Near West Side construction; the source links the building to rapid development after the fire without claiming it stood in the burned district.,Rare surviving Italianate commercial block with date and Holden name carved at the roofline.,high,false
CHI-POSTFIRE-CHI1872-029,CHI1872-029,1872,Inter-Ocean Building I,1872,1872,year-only,1872,1874,year-only,fire,demolished,Wabash Avenue between Harrison and Congress Streets,,,,newspaper office,newspaper offices and printing,,Inter Ocean newspaper,masonry,,,new_construction,,Located south of the principal burned district; direct code context not established.,Chicagology rebuilding110 identifies the 1872-1874 building; destroyed in the 1874 fire. Original contemporary notice requires image-level verification.,medium,true
CHI-POSTFIRE-CHI1872-010,CHI1872-010,1872,J. V. Farwell & Company Block III,1871,1872,exact,1872,1933,approximate,redevelopment,demolished,northwest corner Monroe and Franklin Streets; extension toward Market Street,,,,wholesale warehouse,wholesale dry goods,John M. Van Osdel,J. V. Farwell & Co.,brick masonry; experimental cement wall sections,6,,reconstruction,Farwell commercial property lost in 1871 fire,Built immediately after the fire; Andreas documents an experimental poured-cement wall method using rubble fill.,First section completed about three months after the fire; a 1872 extension formed a 191-by-235-foot complex. Chicagology rebuilding071 distinguishes the phases.,high,true
CHI-POSTFIRE-CHI1872-003,CHI1872-003,1872,John and Clara Merchant House,1872,1872,approximate,1872,,,,extant,Irving Park settlement,3854 N Kostner Ave,41.951474,-87.738451,house,residence,George E. Woodward pattern-book Design No. 2,John and Clara Merchant,wood-frame Second Empire house; mansard roof,2,,new_construction,,Outside Chicago's 1872 municipal limits and outside the burned district; no post-fire ordinance inference.,Official City source dates the house circa 1872. Included because it lies within present Chicago and documents Irving Park's railroad-suburb development; historical-jurisdiction flag should be retained.,high,true
CHI-POSTFIRE-CHI1872-036,CHI1872-036,1872,Keith Brothers Building,1872,1872,approximate,1872,1980,approximate,redevelopment,demolished,246-252 Madison Street near Market Street; later 323-331 West Madison,,,,warehouse,"wholesale hats, caps, furs and millinery",John W. Roberts,Keith Brothers,Ohio sandstone; extensive plate glass,5,,reconstruction,Keith Brothers premises destroyed in 1871 fire,Stone wholesale reconstruction in the expanded post-fire business district.,Contemporary August and October 1872 accounts describe the nearly finished 55-by-170-foot building; occupancy followed within weeks. Chicagology rebuilding180.,medium,true
CHI-POSTFIRE-CHI1872-043,CHI1872-043,1872,Kuhns's European Hotel,1871,1872,year-only,1872,,,,demolished,Dearborn Street in the burned district,,,,hotel,hotel,William W. Boyington,Thomas Mackin and Samuel Gregsten leasehold; William J. Kuhns operator,masonry,,,reconstruction,,First European-plan hotel erected in the burned district after the fire.,North 70-foot section built and opened about August 1872; later additions and Windsor identity must be separated from the 1872 phase.,high,true
CHI-POSTFIRE-CHI1872-034,CHI1872-034,1872,LaSalle Building,1872,1872,approximate,1872,1908,year-only,redevelopment,demolished,northwest corner LaSalle and Madison Streets,,,,office building,bank and offices,Dixon & Hamilton,Gallup & Hitchcock,Buena Vista sandstone,4,,reconstruction,,Stone commercial reconstruction in the fire district.,Up to the fourth story October 13 and expected to be occupied in November 1872; final finish extended into 1873. Chicagology rebuilding117.,medium,true
CHI-POSTFIRE-CHI1872-015,CHI1872-015,1872,Leander McCormick Building,1872,1872,approximate,1872,1949,approximate,redevelopment,demolished,northwest corner Wabash Avenue and Lake Street,,,,commercial block,stove and hardware trade,W. W. Boyington,Leander McCormick,brick masonry,,,reconstruction,,Permanent post-fire mercantile rebuilding.,Contemporary February 1872 notice announced Nos. 34-40 Lake; October coverage illustrates it among McCormick structures. Chicagology rebuilding168.,medium,true
CHI-POSTFIRE-CHI1872-019,CHI1872-019,1872,M. D. Wells & Company Building,1872,1872,exact,1872,1907,year-only,redevelopment,demolished,southeast corner Madison and Market Streets; 256-262 Madison,,,,factory and warehouse,boot and shoe factory and salesrooms,,M. D. Wells & Co.,Philadelphia pressed brick with Ohio-stone trim,5,,reconstruction,firm premises destroyed in 1871 fire,Permanent masonry rebuilding in the wholesale district.,"Completed by August 1872; cost about $100,000 with steam heat, elevators and power. Chicagology rebuilding131.",medium,false
CHI-POSTFIRE-CHI1872-018,CHI1872-018,1872,Major Block II,1872,1872,approximate,1872,1914,year-only,redevelopment,demolished,southeast corner Madison and LaSalle Streets,,,,office building,"banks, stores and offices",Dixon & Hamilton,Major estate,Ohio stone; fireproof office vaults,4,,reconstruction,Major Block I destroyed in 1871 fire,Designed as substantial stone reconstruction with office vaults; direct ordinance inspection not located.,Foundations underway April; intended occupancy October; contemporary October account identifies the completed streetscape. About 66 by 135 feet. Chicagology rebuilding036.,medium,true
CHI-POSTFIRE-CHI1872-035,CHI1872-035,1872,Marine Bank Building II,1872,1872,approximate,1872,1928,year-only,redevelopment,demolished,northeast corner Lake and LaSalle Streets,,,,bank,Marine Bank and Mechanics' National Bank,Burling & Adler,Marine Bank Company,limestone fronts; masonry,4,,reconstruction,Marine Bank property destroyed in 1871 fire,Permanent bank rebuilding in the fire district.,"Ready for roof October 5 1872; occupancy/completion may have followed late that year or early 1873. About 70 by 80 feet; projected cost $95,000. Chicagology rebuilding139.",medium,true
CHI-POSTFIRE-CHI1872-045,CHI1872-045,1872,Massasoit House II,1872,1872,year-only,1872,,,,demolished,,,,,hotel,hotel,,Albert Longley,masonry,,,reconstruction,pre-fire Massasoit House,Post-fire hotel replacement; direct code evidence not located.,Andreas says built by Albert Longley in 1872 and completed and opened in the fall; address is unreadable or absent in the OCR and needs directory follow-up.,high,true
CHI-POSTFIRE-CHI1872-046,CHI1872-046,1872,Matteson House II,1871,1872,year-only,1873,1915,year-only,redevelopment,demolished,northeast corner Wabash Avenue and Jackson Street,,,,hotel,hotel,,Robert Hill,cut stone; masonry,6,,new_construction,pre-fire Matteson House at Randolph and Dearborn Streets,Substantial hotel relocation/replacement after the fire; not on the original site.,Finished late in 1872 but opened February 3 1873; completion and opening are intentionally separated.,high,false
CHI-POSTFIRE-CHI1872-037,CHI1872-037,1872,McVicker's Theatre III,1872,1872,approximate,1872,,,,demolished,Madison Street between State and Dearborn Streets,,,,theater,theater,,James H. McVicker,masonry,,,reconstruction,McVicker's Theatre II destroyed in 1871 fire,Prominent entertainment reconstruction in the burned district.,Under active reconstruction in August and intended for the fall 1872 season; exact opening date should be verified. Chicagology rebuilding045.,medium,true
CHI-POSTFIRE-CHI1872-056,CHI1872-056,1872,Michigan Avenue Methodist Episcopal Church,1871,1872,phase,1872,,,,demolished,Michigan Avenue,,,,church,Methodist worship,,Michigan Avenue Methodist Episcopal Church,masonry,,,partial_completion_and_dedication,,Church construction underway before/through the fire era outside the principal burned core.,"A portion was formally dedicated February 5 1872; full completion occurred during J. W. Phelps's 1873-74 pastorate, so this is not a full completion.",high,true
CHI-POSTFIRE-CHI1872-021,CHI1872-021,1872,Morrison Block III,1872,1872,approximate,1872,1911,year-only,redevelopment,demolished,southeast corner Clark and Madison Streets,,,,commercial block,store and offices,Carter & Drake,Mrs. O. Morrison,Joliet limestone; French Renaissance,4,,reconstruction,Morrison Block destroyed in 1871 fire,Permanent stone commercial replacement in the burned district.,"October 1872 description gives 90 by 100 feet and cost over $100,000; a January 1873 illustration shows completed rebuilt streetscape. Chicagology rebuilding103.",medium,true
CHI-POSTFIRE-CHI1872-020,CHI1872-020,1872,Morrison Building,1872,1872,approximate,1872,1910,year-only,redevelopment,demolished,northeast corner Clark and Madison Streets,,,,commercial block,stores and offices,,E. W. Morrison,Cleveland and Joliet stone,4,,reconstruction,Morrison commercial buildings destroyed in 1871 fire,Permanent stone-front reconstruction within the fire district.,"Plans reported February 1872; later account describes the completed building and about $100,000 cost. Distinct from the Morrison Block on the southeast corner. Chicagology rebuilding217.",medium,true
CHI-POSTFIRE-CHI1872-017,CHI1872-017,1872,Oriental Building II,1872,1872,approximate,1872,1907,year-only,redevelopment,demolished,12-18 North LaSalle Street; later 122 LaSalle,,,,commercial block,offices and commercial tenants,John M. Van Osdel,G. E. Walker,,5,,reconstruction,Oriental Building I destroyed in 1871 fire,Prominent commercial reconstruction in the burned district.,Contemporary May and October 1872 notices document construction and partial occupancy; final completion date needs directory/permit verification. Chicagology rebuilding042.,medium,true
CHI-POSTFIRE-CHI1872-001,CHI1872-001,1872,Page Brothers Building,1872,1872,year-only,1872,,,,extant-altered,177-191 North State Street; north facade on Lake Street,177-191 N State St,41.885472,-87.627594,commercial loft,retail and commercial,John M. Van Osdel,Page Brothers,masonry with cast-iron north facade,4,,reconstruction,pre-fire commercial building on site,Built during the first-year rebuilding under the post-fire fire-limits regime; its surviving cast-iron facade preserves a construction technique common before the fire.,Official City narrative dates the building to 1872; the State Street facade and fifth story are a separate 1902 phase.,high,false
CHI-POSTFIRE-CHI1872-023,CHI1872-023,1872,Pike's Block,1872,1872,year-only,1872,1955,year-only,redevelopment,demolished,166-172 State Street; southwest corner State and Monroe Streets,,,,commercial block,retail and offices,John W. Roberts,E. S. Pike,masonry,,,reconstruction,,Stone-and-masonry commercial rebuilding opposite the Palmer House.,Featured as a newly erected block in the October 1872 Land Owner; Chicagology rebuilding104.,medium,true
CHI-POSTFIRE-CHI1872-087,CHI1872-087,1872,Polk Street Bridge Reconstruction,1871,1872,range,1872,,,,replaced,Polk Street crossing South Branch,,,,movable bridge,transportation infrastructure,,City of Chicago,,,,reconstruction,Polk Street bridge rendered impassable in 1871 fire,Municipal infrastructure funded partly through Illinois canal-refund appropriation.,One of eight named bridges repaired immediately and completed within one year of the fire.,high,false
CHI-POSTFIRE-CHI1872-011,CHI1872-011,1872,Reed Block,1872,1872,year-only,1872,1925,year-only,redevelopment,demolished,northeast corner Lake Street and Wabash Avenue,,,,commercial block,hardware warehouse and salesrooms,Wheelock & Thomas,J. H. Reed,pressed brick; plate glass; galvanized-iron cornice,5,85,reconstruction,Hibbard & Spencer premises destroyed in 1871 fire,Permanent mercantile rebuilding in the fire district.,Contemporary April and October 1872 notices document construction and occupancy; footprint about 48 by 140 feet for the occupied portion. Chicagology rebuilding067.,medium,false
CHI-POSTFIRE-CHI1872-038,CHI1872-038,1872,Relic House,1872,1872,year-only,1872,1929,year-only,redevelopment,demolished,North Park Avenue and Centre Street; later Clark near Centre,,,,relic house,"cottage, restaurant, hall and saloon",,Albert Rettig,fused and salvaged fire debris,2,,new_construction,,Purpose-built from fire relics; not evidence of ordinary code-compliant construction.,"Constructed in 1872 from melted iron, glass, pottery and stone and later moved roughly 100 yards. Chicagology rebuilding046.",medium,true
CHI-POSTFIRE-CHI1872-025,CHI1872-025,1872,Robbins Building III,1872,1872,year-only,1872,1910,year-only,redevelopment,demolished,11-13 Fifth Avenue and 205-207 South Water Street,,,,commercial block,railway supplies,John M. Van Osdel,Robbins estate,cut-stone front; masonry,5,,reconstruction,Robbins Block destroyed in 1871 fire,Permanent commercial rebuilding in the burned district.,"Contemporary November 1872 account calls the 80-by-150-foot building rebuilt for about $100,000. Chicagology rebuilding101 also describes a related Lake Street block and a separate Ohio/Franklin manufacturing complex, not merged here.",medium,true
CHI-POSTFIRE-CHI1872-080,CHI1872-080,1872,Rush Street Bridge Reconstruction,1871,1872,range,1872,,,,replaced,Rush Street crossing Chicago River,,,,movable bridge,transportation infrastructure,,City of Chicago,,,,reconstruction,Rush Street bridge rendered impassable in 1871 fire,Municipal infrastructure funded partly through Illinois canal-refund appropriation.,One of eight named bridges repaired immediately and completed within one year of the fire.,high,false
CHI-POSTFIRE-CHI1872-070,CHI1872-070,1872,Sawyer Livery Stables,1872,1872,exact,1872,,,,demolished,9-11 Third Avenue,,,,stable,livery and boarding stable,,Joseph Sawyer,,,,new_construction,Dutton & Sawyer stables/business disrupted by 1871 fire,Stable construction presented elevated fire risk; material and ordinance compliance are not given.,Built January 1872 and occupied by Sawyer's livery business.,high,true
