relationship_id,from_building_id,to_building_id,to_building_name,relationship_type,resolution_status,notes
CHI-POSTFIRE-CHI1872-051-R01,CHI-POSTFIRE-CHI1872-051,,Sherman House II destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-052-R01,CHI-POSTFIRE-CHI1872-052,,Briggs House destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-053-R01,CHI-POSTFIRE-CHI1872-053,,Tremont House III destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-054-R01,CHI-POSTFIRE-CHI1872-054,,Grace Church destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-055-R01,CHI-POSTFIRE-CHI1872-055,,First Methodist block destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-060-R01,CHI-POSTFIRE-CHI1872-060,,Church of the Messiah property sold for commercial use after the fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-061-R01,CHI-POSTFIRE-CHI1872-061,,First Universalist Church at Van Buren and Wabash lost in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-062-R01,CHI-POSTFIRE-CHI1872-062,,St. James church ruined in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-063-R01,CHI-POSTFIRE-CHI1872-063,,St. Michael's Church destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-064-R01,CHI-POSTFIRE-CHI1872-064,,clergy house damaged in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-065-R01,CHI-POSTFIRE-CHI1872-065,,convent and school destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-066-R01,CHI-POSTFIRE-CHI1872-066,,St. Joseph parish church and school destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-067-R01,CHI-POSTFIRE-CHI1872-067,,Dearborn/Madison machinery premises destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-068-R01,CHI-POSTFIRE-CHI1872-068,,downtown Bournique academy destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-070-R01,CHI-POSTFIRE-CHI1872-070,,Dutton & Sawyer stables/business disrupted by 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-071-R01,CHI-POSTFIRE-CHI1872-071,,Bemis and McAvoy brewery complex,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-072-R01,CHI-POSTFIRE-CHI1872-072,,Bemis and McAvoy brewery complex,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-073-R01,CHI-POSTFIRE-CHI1872-073,,Gottfried brewery complex,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-074-R01,CHI-POSTFIRE-CHI1872-074,,Chicago Water Works fire-damaged October 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-076-R01,CHI-POSTFIRE-CHI1872-076,,Chicago Water Works mechanical plant,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-077-R01,CHI-POSTFIRE-CHI1872-077,,State Street viaduct rendered impassable in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-078-R01,CHI-POSTFIRE-CHI1872-078,,Clark Street viaduct rendered impassable in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-079-R01,CHI-POSTFIRE-CHI1872-079,,Wells Street viaduct rendered impassable in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-080-R01,CHI-POSTFIRE-CHI1872-080,,Rush Street bridge rendered impassable in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-081-R01,CHI-POSTFIRE-CHI1872-081,,State Street bridge rendered impassable in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-082-R01,CHI-POSTFIRE-CHI1872-082,,Clark Street bridge rendered impassable in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-083-R01,CHI-POSTFIRE-CHI1872-083,,Wells Street bridge rendered impassable in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-084-R01,CHI-POSTFIRE-CHI1872-084,,Chicago Avenue bridge rendered impassable in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-085-R01,CHI-POSTFIRE-CHI1872-085,,Adams Street bridge rendered impassable in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-086-R01,CHI-POSTFIRE-CHI1872-086,,Van Buren Street bridge rendered impassable in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-087-R01,CHI-POSTFIRE-CHI1872-087,,Polk Street bridge rendered impassable in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-088-R01,CHI-POSTFIRE-CHI1872-088,,Aiken's Theatre lost in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1872-089-R01,CHI-POSTFIRE-CHI1872-089,,Central European Hotel destroyed in 1871 fire; temporary frame shanty,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-001-R01,CHI-POSTFIRE-CHI1873-001,,Larmon Block site,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-002-R01,CHI-POSTFIRE-CHI1873-002,,pre-fire Lakeside Building on same site,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-003-R01,CHI-POSTFIRE-CHI1873-003,,pre-fire Times facilities,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-004-R01,CHI-POSTFIRE-CHI1873-004,,Crosby's Opera House site,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-005-R01,CHI-POSTFIRE-CHI1873-005,,pre-fire St. James Hotel,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-006-R01,CHI-POSTFIRE-CHI1873-006,,Tremont House III destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-007-R01,CHI-POSTFIRE-CHI1873-007,,Sherman House II destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-008-R01,CHI-POSTFIRE-CHI1873-008,,Grand Pacific Hotel I destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-009-R01,CHI-POSTFIRE-CHI1873-009,,Palmer House I and foundations surviving the 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-010-R01,CHI-POSTFIRE-CHI1873-010,,pre-fire Clifton House; temporary Clifton at Washington and Halsted,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-011-R01,CHI-POSTFIRE-CHI1873-011,,pre-fire Briggs House on same site,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-012-R01,CHI-POSTFIRE-CHI1873-012,,pre-fire Revere House at Clark and Kinzie Streets,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-013-R01,CHI-POSTFIRE-CHI1873-013,,pre-fire Matteson House,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-020-R01,CHI-POSTFIRE-CHI1873-020,,Alexian Brothers' Hospital destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-021-R01,CHI-POSTFIRE-CHI1873-021,,Grace Methodist Episcopal Church destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-024-R01,CHI-POSTFIRE-CHI1873-024,,Trinity church-edifice lost in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-025-R01,CHI-POSTFIRE-CHI1873-025,,St. James church damaged/destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-026-R01,CHI-POSTFIRE-CHI1873-026,,New England Church property destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-027-R01,CHI-POSTFIRE-CHI1873-027,,Illinois Street Tabernacle destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-029-R01,CHI-POSTFIRE-CHI1873-029,,Unity Church destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-030-R01,CHI-POSTFIRE-CHI1873-030,,First Universalist Church at Van Buren and Wabash lost in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-031-R01,CHI-POSTFIRE-CHI1873-031,,"Bethel/Mariners' Church destroyed October 9, 1871",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-032-R01,CHI-POSTFIRE-CHI1873-032,,surviving pre-fire water tank,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-033-R01,CHI-POSTFIRE-CHI1873-033,,Plymouth Congregational Church building,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-035-R01,CHI-POSTFIRE-CHI1873-035,,joint depot destroyed in the 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-037-R01,CHI-POSTFIRE-CHI1873-037,,pre-fire Honoré building destroyed in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-038-R01,CHI-POSTFIRE-CHI1873-038,,"Field, Leiter & Company store destroyed in 1871",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-039-R01,CHI-POSTFIRE-CHI1873-039,,Illinois Staats-Zeitung premises destroyed in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-040-R01,CHI-POSTFIRE-CHI1873-040,,First Methodist Episcopal Church property destroyed in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-045-R01,CHI-POSTFIRE-CHI1873-045,,Jones School destroyed in 1871 fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1873-050-R01,CHI-POSTFIRE-CHI1873-050,,Cook County Insane Asylum building of 1870,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-001-R01,CHI-POSTFIRE-CHI-1874-001,,Palmer House destroyed October 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-002-R01,CHI-POSTFIRE-CHI-1874-002,,North Market Hall site; post-fire replacement of county facilities,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-003-R01,CHI-POSTFIRE-CHI-1874-003,,post-fire replacement for company quarters,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-006-R01,CHI-POSTFIRE-CHI-1874-006,,20-by-36-foot one-and-a-half-story frame factory on the same lot,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-009-R01,CHI-POSTFIRE-CHI-1874-009,,"Infirmary destroyed October 9, 1871",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-011-R01,CHI-POSTFIRE-CHI-1874-011,,"Fourth Presbyterian sanctuary destroyed October 8, 1871",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-012-R01,CHI-POSTFIRE-CHI-1874-012,,Second Presbyterian Church pre-fire building destroyed in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-013-R01,CHI-POSTFIRE-CHI-1874-013,,"First Congregational Church burned January 16, 1873",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-014-R01,CHI-POSTFIRE-CHI-1874-014,,Pre-fire church destroyed above rubble-stone basement walls in October 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-016-R01,CHI-POSTFIRE-CHI-1874-016,,St. Ignatius College main building begun 1869 and opened 1870,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-017-R01,CHI-POSTFIRE-CHI-1874-017,,none identified,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-019-R01,CHI-POSTFIRE-CHI-1874-019,,none identified,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-020-R01,CHI-POSTFIRE-CHI-1874-020,,temporary residence/coach-house relationship with 1836 property,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-021-R01,CHI-POSTFIRE-CHI-1874-021,,Frederick Wacker House at 1838 N Lincoln Park West,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-022-R01,CHI-POSTFIRE-CHI-1874-022,,"Farragut Boat Club boathouse at foot of Twenty-first Street, destroyed by storm in spring 1874",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-023-R01,CHI-POSTFIRE-CHI-1874-023,,"Aiken's Theatre opened October 7, 1872",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-024-R01,CHI-POSTFIRE-CHI-1874-024,,cathedral/church facilities destroyed in Great Chicago Fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI-1874-025-R01,CHI-POSTFIRE-CHI-1874-025,,none identified,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1875-001-R01,CHI-POSTFIRE-CHI1875-001,,Cathedral of St. Mary and Church of the Holy Name destroyed in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1875-002-R01,CHI-POSTFIRE-CHI1875-002,,St. James church largely destroyed in the Great Chicago Fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1875-003-R01,CHI-POSTFIRE-CHI1875-003,,Illinois Street Church destroyed in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1875-004-R01,CHI-POSTFIRE-CHI1875-004,,"First Baptist Church on Wabash Avenue destroyed in the fire of July 14, 1874",rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1875-007-R01,CHI-POSTFIRE-CHI1875-007,,KAM temple destroyed in the 1874 Chicago fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1875-008-R01,CHI-POSTFIRE-CHI1875-008,,Sinai synagogue at Plymouth Court and Van Buren destroyed in 1871,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1875-013-R01,CHI-POSTFIRE-CHI1875-013,,McCormick residence destroyed in the Great Chicago Fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1875-019-R01,CHI-POSTFIRE-CHI1875-019,,Union Stock Yard original 1865 entrance complex,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1875-030-R01,CHI-POSTFIRE-CHI1875-030,,Old Post-Office building shell,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-004-R01,CHI-POSTFIRE-CHI1876-004,,West Division Pumping Works,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-005-R01,CHI-POSTFIRE-CHI1876-005,,Cook County Hospital pavilion complex,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-006-R01,CHI-POSTFIRE-CHI1876-006,,Frame school immediately west of St. Patrick's Church,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
CHI-POSTFIRE-CHI1876-007-R01,CHI-POSTFIRE-CHI1876-007,,Clergy house damaged in the Great Chicago Fire,rebuilds_or_replaces,name_only_needs_entity_resolution,Preserve predecessor text until cross-period entity resolution.
