year_record_id,canonical_name,alternate_names,year_started,year_completed,completion_precision,year_opened,year_demolished,demolition_precision,demolition_cause,status,address_historical,address_modern,latitude,longitude,building_type,original_use,architect_or_builder,owner_or_developer,structural_system,stories,height_ft,construction_or_event_type,predecessor_or_rebuild_of,postfire_code_context,notes,source_keys,confidence,needs_review
CHI1878-011,Chicago Fire Patrol Headquarters at 176 Monroe Street,Fire Patrol No. 1 headquarters,,1878,exact,1878,,,,demolished/unknown,176 Monroe Street,,,,fire_patrol_station,insurance fire salvage patrol,L. Z. Leiter (building erection); Chicago Fire Patrol members (interior finishing and arrangements),L. Z. Leiter; Chicago Board of Underwriters/Chicago Fire Patrol,masonry building; detailed material not stated,,,completion_and_specialized_fitout,,A permanent fire-salvage headquarters was a direct institutional response to Chicago's repeated conflagrations.,"Captain Bullwinkle's company formally opened and occupied the headquarters February 16, 1878. Andreas distinguishes Leiter's building work from the patrol members' interior finishing.",ANDREAS_V3,high,false
CHI1878-012,Servite Sisters' Industrial Home Convent,Servite Sisters convent and industrial home,1878,,unknown,,,,,demolished/unknown,Corner of West Van Buren Street and Albany Avenue,,,,convent_and_industrial_home,"convent, home, instruction, and vocational work",,Servite Sisters,brick and stone; iron entrance stairways,5,,construction_start_cornerstone,,Substantial masonry institutional construction replaced the order's initial rented quarters at 1266 W. Van Buren.,The sisters established their home in May 1878; construction on a 300-foot-square site began in 1878 and Vicar-General McMullen laid the cornerstone. Andreas still described the convent as unfinished in 1886; adjoining buildings were two and three stories.,ANDREAS_V3,high,true
CHI1878-013,House of the Good Shepherd North Wing,Good Shepherd asylum north wing,1878,,unknown,,,,,demolished/unknown,Corner of North Market and Hill Streets,,,,institutional_wing,women's asylum and reformatory,,Sisters of the Good Shepherd,masonry wing; exact material not stated,,,addition,House of the Good Shepherd post-fire building erected 1872,A permanent institutional addition enlarged the rebuilt post-fire complex.,"A summer 1878 bazaar and benefits produced net receipts of $8,695, applied to erecting the north wing. The source does not state an exact completion date, so the annual placement records a materially documented construction expenditure/phase.",ANDREAS_V3;ENCYC_CHI_GOOD_SHEPHERD,medium,true
CHI1878-014,Church of the Immaculate Conception Priest's Residence,Immaculate Conception clergy house,1878,1878,year-only,1878,,,,demolished/unknown,Immediately south of the Church of the Immaculate Conception on the Near North Side,,,,clergy_residence,Catholic priest residence,,Church of the Immaculate Conception,likely brick masonry; exact material not stated,,,new_construction,,Parish residential construction supplemented the brick church rebuilt in 1874 around the surviving pre-fire basement.,"Andreas gives two conflicting costs—about $7,000 in the parish narrative and about $5,000 in Rev. P. T. Butler's biography. Precise historic street address remains unresolved.",ANDREAS_V3,high,true
CHI1878-015,Third Presbyterian Church on Ashland Avenue,Third Presbyterian Church,,1878,month,1878,1884,exact,fire,destroyed and rebuilt,Ashland Avenue at or near Ogden Avenue,,,,church,Presbyterian worship,,Third Presbyterian Church,masonry; exact material not stated,,,completion_and_occupancy,"Third Presbyterian Church at Washington and Carpenter Streets, sold in 1877",A large permanent West Side church replaced the congregation's earlier property after post-fire neighborhood movement.,"The new Ashland Avenue edifice was occupied in May 1878 and seated 1,900. It burned October 10, 1884 and was rebuilt materially on the old plan for reopening May 24, 1885.",ANDREAS_V3,high,true
CHI1878-016,Misses Grant's Seminary for Young Ladies,Misses Grant's Seminary,,1878,year-only,1878,,,,extant_at_2003_listing,839 N. Dearborn Street / 27-31 W. Chestnut Street,839 N Dearborn St / 27-31 W Chestnut St,,,school,women's seminary,Frederick H. Waescher,,red brick with gray limestone trim and brown ashlar ground level,,,new_construction,,A substantial masonry educational building represented permanent Near North Side rebuilding.,"The National Register nomination identifies the 1878 contributing building and describes its massive corner form, turret, gable, dormers, and contrasting masonry. Andreas notes that the school moved into its new building in November 1878.",NPS_WASHINGTON_SQUARE;ANDREAS_V3,high,false
CHI1878-017,Newberry Rowhouses,Newberry Row Houses,,1878,year-only,1878,,,,extant_at_2003_listing,827-833 N. Dearborn Street,827-833 N Dearborn St,,,rowhouse_group,four private residences,Frederick H. Waescher,,masonry; exact material not stated,,,new_residential_construction,,A coordinated masonry rowhouse group contributed to permanent Near North Side residential reconstruction.,"The National Register nomination records four 1878 contributing rowhouses. Unit-level owners, exact completion dates, and later alterations need deed and permit research.",NPS_WASHINGTON_SQUARE,high,true
CHI1878-018,Newberry Rowhouse Barns,Newberry Rowhouse outbuildings,,1878,year-only,1878,,,,extant_at_2003_listing,Rear of 827-833 N. Dearborn Street,,,,stable_outbuilding_group,residential barns/stables,,,masonry or frame not stated,,,new_outbuilding_construction,,Documented service buildings preserve the complete residential property system rather than only street-facing houses.,The National Register nomination separately counts the 1878 barns as contributing buildings but does not attribute an architect in its resource table. Count and materials require inventory-sheet review.,NPS_WASHINGTON_SQUARE,medium,true
CHI1878-019,Crilly Building,J. M. W. Jones Printing Building; later Chicago Stock Exchange Building,1878,1878,year-only,1878,,,,demolished,Northeast corner of Dearborn and Monroe Streets,30 W Monroe St site,,,printing_and_commercial_building,"heavy printing, paper company, and commercial tenants",,Daniel F. Crilly; leased ground from Chicago Board of Education,substantial heavy-load construction,5,,new_construction,,Heavy-load commercial construction on a fire-cleared corner advanced the rebuilt printing district.,Crilly leased the corner in 1878 and put up a five-story building for J. M. W. Jones Printing Company; Indianapolis Paper Company occupied the north part. Two stories were added in 1888. Later summaries that call it seven stories in 1878 conflate the phases.,OLD_MONROE_1914;AIC_CRILLY_FINDING_AID,high,false
CHI1878-020,B. R. Chambers Commercial Block,"Blakely & Brown Printing Building; Blakely, Brown & Marsh building",1878,1878,year-only,1878,,,,demolished/unknown,155-157 Dearborn Street; just north of the Chicago Journal office,,,,commercial_printing_building,printing offices and commercial rental,Cyrus P. Thomas,B. R. Chambers; upper floors rented to Blakely & Brown,masonry; exact material not stated,5,,new_construction,,A five-story purpose-adapted commercial building supported the post-fire printing industry.,The architect's project list identifies the 1878 Chambers block and its intended Blakely & Brown tenancy. Andreas independently says Blakely & Brown moved in 1878 to a five-story building they 'had erected' at 155-157 Dearborn; ownership/development wording needs lease research.,ARCHDICT_THOMAS;ANDREAS_V3,high,true
CHI1878-021,T. B. Campbell Residence,Campbell House,1878,1878,year-only,1878,,,,demolished/unknown,Dearborn Avenue north of Schiller Street,,,,residence,private residence,Cyrus P. Thomas,T. B. Campbell,masonry or frame not stated,,,new_residential_construction,,The project illustrates documented elite residential growth outside the central fire district.,"Listed among Cyrus P. Thomas's 1878 works with a contemporary Chicago Tribune citation; dimensions, material, exact address, and fate require the newspaper and permit record.",ARCHDICT_THOMAS,medium,true
CHI1878-022,L. B. Brasher Flats,Brasher block of flats,1878,1878,year-only,1878,,,,demolished/unknown,Third Avenue at Taylor Street,,,,apartment_block,flats,Cyrus P. Thomas,L. B. Brasher of Cincinnati,masonry or frame not stated,,,new_residential_construction,,Purpose-built flats document the diversification and densification of post-fire housing.,"Listed among Cyrus P. Thomas's 1878 works with a May 19, 1878 Chicago Tribune citation. Exact unit count, dimensions, material, cost, and fate need the original notice and permit ledger.",ARCHDICT_THOMAS,medium,true
CHI1878-023,Daniel Wells Commercial and Hotel Block,Wells block,1878,1879,year-range,1879,,,,demolished/unknown,Michigan Avenue at Harrison Street,,,,mixed_use_commercial_hotel,"stores, commercial space, and corner hotel",Cyrus P. Thomas,Daniel Wells of Milwaukee,masonry; exact material not stated,4,,construction_start_and_phase,,A substantial mixed-use block extended permanent masonry development along Michigan Avenue.,"The architect's project list dates the four-story block 1878-79 and cites Tribune notices of May 19, 1878 and April 6, 1879. The precise start and completion dates remain to be recovered from those notices.",ARCHDICT_THOMAS,high,true
CHI1878-024,Bemis & McAvoy Brewery East-Side Icehouse of 1878,Bemis and McAvoy ice house,1878,1878,year-only,1878,,,,demolished/unknown,East side of South Park Avenue near Twenty-third Street,,,,industrial_icehouse,brewery cold storage,,Bemis & McAvoy Brewing Company,substantial industrial construction; exact material not stated,,,industrial_addition,,Specialized industrial construction expanded a major post-fire brewery complex.,"Andreas states that two additional icehouses were erected on the east side of South Park Avenue in 1878 and 1879, implying one annual addition but not labeling the individual buildings. Entity matching to insurance maps is required.",ANDREAS_V3,medium,true
CHI1878-025,Bemis & McAvoy Brewery Brick Barn,Bemis and McAvoy barn,1878,1878,year-only,1878,,,,demolished/unknown,Bemis & McAvoy brewery complex near South Park Avenue and Twenty-third Street,,,,industrial_barn,"brewery horses, vehicles, and service functions",,Bemis & McAvoy Brewing Company,brick masonry,,,industrial_addition,,A permanent brick service building expanded the logistics capacity of a large brewery complex.,"Andreas explicitly dates the large brick barn to 1878. Its footprint, stories, architect, cost, and exact side of the avenue require Sanborn or Robinson map reconciliation.",ANDREAS_V3,high,true
CHI1878-026,Haverly's Theater Reconstruction,New Adelphi Theater; later Haverly's Theater,1878,1878,exact,1878,1882,year,demolished when lease expired,demolished,Northwest corner of Dearborn and Monroe Streets,,,,theater,stage theater,,J. H. Haverly,reused masonry walls with reconstructed interior and galleries,,,major_reconstruction_and_redecoration,"New Adelphi Theater opened January 11, 1875 in the old post-office walls",A major reconstruction reused strong surviving masonry while upgrading a prominent theater.,"Entirely reconstructed and redecorated in July-August 1878; reopened August 4. Work included plate glass, new scenery and curtain, frescoing, upholstery, and carpets, at a reported minimum cost of $8,500.",ANDREAS_V3,high,false
CHI1878-027,Hamlin's Theater Reconstruction,Foley's Billiard Hall; Hamlin Brothers garden and vaudeville; later Grand Opera House,1878,1878,month,1878,,,,reconstructed_again,Rear of the Hamlin Brothers property on the former Bryan Hall and Hooley's Opera House site,,,,theater,regular stage theater,Hamlin Brothers," ""Hamlin Brothers; property passed to William C. Reynolds about 1878""",reconstructed existing hall and adjoining fabric,,,conversion_and_reconstruction,"Foley's Billiard Hall, later garden and vaudeville theater",Repeated adaptive reuse converted post-fire commercial entertainment fabric into a regular theater.,The former 1873 billiard hall/garden/vaudeville was reconstructed as a regular theater and opened in September 1878 as Hamlin's Theater. It was reconstructed again in 1880 as the Grand Opera House.,ANDREAS_V3,high,true
CHI1878-028,Fullerton Avenue Pile Bridge reported as rebuilt,Fullerton Avenue 225-foot bridge,1878,1878,year-only,1878,,,,identity_conflict,Fullerton Avenue,,,,bridge,road crossing,,City of Chicago,reported 225-foot bridge with 20-foot roadway,,,reported_rebuild,,"The source preserves a bridge-rebuild claim, but entity resolution is necessary before treating it as a separate 1878 structure.","Andreas says a Fullerton Avenue bridge was rebuilt in 1878 at 225 by 20 feet for $1,490. Those dimensions and cost exactly match a Fullerton pile bridge reported in the 1874-75 Board of Public Works year, while a separate 125-foot pivot bridge was completed January 19, 1878. This row preserves the conflict and must not be double-counted in resolved statistics.",ANDREAS_V3,low,true
